>MZ962720.1 Carex myosuroides chloroplast, complete genome
>MH569081.1 Festuca ovina plastid, complete genome
>NC_033978.1 Betula nana chloroplast, complete genome
>MW006668.1 Vaccinium erythrocarpum subsp. japonicum chloroplast, complete genome
>MW435436.1 Salix herbacea voucher GOET:HER5 chloroplast, complete genome
>NC_037882.1 Saxifraga stolonifera chloroplast, complete genome
>NC_056190.1 Pinguicula alpina chloroplast, complete genome
>MN564931.1 Oxyria digyna chloroplast, complete genome
>NC_031651.1 Ranunculus occidentalis chloroplast, complete genome
>MW366789.1 Juncus effusus chloroplast, complete genome
>KT899950.1 Tofieldia thibetica plastid, complete genome
>GU191334.1 Equisetum arvense chloroplast, complete genome
