P001_WA01	Saxifraga oppositifolia
P001_WA02	Euphrasia frigida
P001_WA03	Carex atrata
P001_WA04	Salix glauca
P001_WA05	Festuca ovina
P001_WA06	Carex atrofusca
P001_WA07	Omalotheca supina
P001_WA08	Carex umbrosa
P001_WA09	Botrychium lunaria
P001_WA10	Cruciata laevipes
P001_WA11	Campanula collina
P001_WA12	Matricaria caucasica
P001_WB01	Arabis alpina
P001_WB02	Salix reticulata
P001_WB03	Eriophorum vaginatum
P001_WB04	Betula nana
P001_WB05	Anthoxanthum odoratum
P001_WB06	Comastoma tenellum
P001_WB07	Oxytropis lapponica
P001_WB08	Bromus variegatus
P001_WB09	Leontodon hispidus
P001_WB10	Nardus stricta
P001_WB11	Campanula tridentata
P001_WB12	Gnaphalium supinum
P001_WC01	Ranunculus acris
P001_WC02	Deschampsia flexuosa
P001_WC03	Erigeron uniflorus
P001_WC04	Juniperus communis
P001_WC05	Arctostaphylos uva-ursi
P001_WC06	Gentiana nivalis
P001_WC07	Leontodon autumnalis
P001_WC08	Bupleurum falcatum
P001_WC09	Betonica macrantha
P001_WC10	Carum caucasicum
P001_WC11	Rumex alpestris
P001_WC12	Carex oreophila
P001_WD01	Poa alpina
P001_WD02	Saxifraga nivalis
P001_WD03	Calamagrostis stricta
P001_WD04	Cassiope tetragona
P001_WD05	Avenella flexuosa
P001_WD06	Campanula rotundifolia
P001_WD07	Silene wahlbergi
P001_WD08	Cerastium purpurascens
P001_WD09	Gentiana septemfida
P001_WD10	Myosotis alpestris
P001_WD11	Sedum tenellum
P001_WD12	Taraxacum stevenii
P001_WE01	Minuartia biflora
P001_WE02	Kobresia myosuroides
P001_WE03	Ranunculus nivalis
P001_WE04	Tofieldia pusilla
P001_WE05	Kalmia procumbens
P001_WE06	Phleum alpinum
P001_WE07	Luzula confusa
P001_WE08	Scabiosa caucasica
P001_WE09	Aetheopappus caucasicus Psephellus
P001_WE10	Taraxacum confusum
P001_WE11	Festuca brunnescens
P001_WE12	Carex pyrenaica
P001_WF01	Equisetum arvense
P001_WF02	Carex saxatilis
P001_WF03	Cerastium nigrescens
P001_WF04	Silene acaulis
P001_WF05	Antennaria dioica
P001_WF06	Euphrasia wettsteinii
P001_WF07	Festuca rubra
P001_WF08	Coeloglossum viride
P001_WF09	Gentiana verna
P001_WF10	Anthyllis vulneraria
P001_WF11	Seseli alpinum
P001_WF12	Geranium gymnocaulon
P001_WG01	Thalictrum alpinum
P001_WG02	Carex parallela
P001_WG03	Selaginella selaginoides
P001_WG04	Carex vaginata
P001_WG05	Viscaria alpina
P001_WG06	Saxifraga cespitosa
P001_WG07	Gentianella campestris
P001_WG08	Anthemis marschalliana
P001_WG09	Gentiana pyrenaica
P001_WG10	Taraxacum porphyranthum
P001_WG11	Gagea fistulosa
P001_WG12	Catabrosella variegata
P001_WH01	Parnassia palustris
P001_WH02	Salix hastata
P001_WH03	Eriophorum angustifolium
P001_WH04	Saxifraga aizoides
P001_WH05	Veronica alpina
P001_WH06	Trisetum spicatum
P001_WH07	Scorzonera cana
P001_WH08	Anthemis cretica
P001_WH09	Primula ruprechtii
P001_WH10	Hypericum linarioides
P001_WH11	Erigeron caucasicus
P001_WH12	Hieracium prenanthoides
P002_WA01	Hyalopoa pontica
P002_WA02	Trifolium polyphyllum
P002_WA03	Festuca varia
P002_WA04	Carum meifolium
P002_WA05	Gentiana nipponica
P002_WA06	Peucedanum multivittatum
P002_WA07	Harrimanella stelleriana
P002_WA08	Poa pratensis
P002_WA09	Dryas integrifolia
P002_WA10	Rhododendron tomentosum
P002_WA11	Calamagrostis holmii
P002_WA12	Saxifraga hirculus
P002_WB01	Chaerophyllum roseum
P002_WB02	Primula algida
P002_WB03	Arenaria lychnidea Eremogone
P002_WB04	Helictotrichon versicolor
P002_WB05	Pedicularis chamissonis
P002_WB06	Potentilla matsumurae
P002_WB07	Bryanthus gmelinii musciformis
P002_WB08	Poa alpigena
P002_WB09	Salix myrsinites
P002_WB10	Stellaria longipes
P002_WB11	Pedicularis sudetica
P002_WB12	Chrysosplenium tetrandrum
P002_WC01	Potentilla verna mixed 179
P002_WC02	Oxytropis kubanensis
P002_WC03	Euphrasia ossica
P002_WC04	Aster alpinus
P002_WC05	Tilingia ajanensis
P002_WC06	Luzula oligantha
P002_WC07	Rhododendron camtschaticum
P002_WC08	Cardamine polemonioides pratensis
P002_WC09	Astragalus frigidus
P002_WC10	Persicaria vivipara
P002_WC11	Minuartia obtusiloba
P002_WC12	Eriophorum russeolum
P002_WD01	Pedicularis condensata mixed 178
P002_WD02	Viola altaica
P002_WD03	Erigeron alpinus
P002_WD04	Potentilla gelida
P002_WD05	Pennellianthus frutescens
P002_WD06	Deschampsia caespitosa cespitosa
P002_WD07	Saussurea yanagisawae
P002_WD08	Oxytropis campestris
P002_WD09	Armeria maritima
P002_WD10	Salix arctophyla
P002_WD11	Hierochloe pauciflora
P002_WD12	Rumex arcticus
P002_WE01	Centaurea cheiranthifolia
P002_WE02	Plantago atrata
P002_WE03	Ranunculus oreophilus
P002_WE04	Anemone speciosa narcissiflora
P002_WE05	Campanula chamissonis
P002_WE06	Patrinia sibirica
P002_WE07	Spiraea betulifolia
P002_WE08	Alopecurus boreales magellanicus magellanicus
P002_WE09	Betula glandulosa
P002_WE10	Saxifraga caespitosa
P002_WE11	Alopecurus alpinus
P002_WE12	Arctophila fulva
P002_WF01	Calamagrostis arundinacea
P002_WF02	Veronica gentianoides
P002_WF03	Minuartia circassica
P002_WF04	Pedicularis comosa
P002_WF05	Ledum palustre
P002_WF06	Phyllodoce aleutica
P002_WF07	Minuartia recurva
P002_WF08	Dupontia fisheri
P002_WF09	Pyrola grandiflora
P002_WF10	Potentilla hyparctica
P002_WF11	Luzula arctica
P002_WF12	Carex rotundata
P002_WG01	Agrostis vinealis
P002_WG02	Hedysarum caucasicum
P002_WG03	Fritillaria collina
P002_WG04	Alchemilla caucasica
P002_WG05	Calamagrostis canadensis
P002_WG06	Juncus beringensis
P002_WG07	Carex rariflora
P002_WG08	Eriophorum scheuchzeri
P002_WG09	Salix uva-ursi
P002_WG10	Saxifraga hieracifolia
P002_WG11	Salix phlebophylla
P002_WG12	Vaccinium vitis-idaea
P002_WH01	Pulsatilla aurea
P002_WH02	Sempervivum caucasicum
P002_WH03	Galium verum
P002_WH04	Bupleurum ranunculoides
P002_WH05	Anemone narcissiflora
P002_WH06	Artemisia arctica
P002_WH07	Cerastium arcticum
P002_WH08	Carex subspathacea
P002_WH09	Rhododendron groenlandicum
P002_WH10	Arctagrostis latifolia
P002_WH11	Draba micropetala
P002_WH12	Pedicularis albolabiata
P003_WA01	Potentilla fruticosa
P003_WA02	Poa glauca
P003_WA03	Bistorta viviparum
P003_WA04	Sedum alpestre
P003_WA05	Papaver radicatum
P003_WA06	Festuca quadriflora
P003_WA07	Carex misandra
P003_WA08	Senecio atropurpureus
P003_WA09	Cerastium beeringianum
P003_WA10	Gentiana brachyphylla
P003_WA11	Soldanella alpina
P003_WA12	Festuca pulchella
P003_WB01	Solidago multiradiata
P003_WB02	Galium normanii
