P001_WD03_00038 	Poaceae;Calamagrostis; 	Poaceae;Urochloa	Poaceae;Agrostis; 	Poaceae;Sesleria; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P001_WF01_00100 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum	Hypericaceae;Hypericum; 	Caryophyllaceae;Stellaria; 	Ericaceae;Rhododendron; 	Ericaceae;Vaccinium;
P001_WH10_00027 	Hypericaceae;Hypericum; 	Hypericaceae;Cratoxylum	Ericaceae;Bryanthus; 	Ericaceae;Rhododendron; 	Violaceae;Viola; 	Ericaceae;Vaccinium;
P002_WA11_00042 	Poaceae;Calamagrostis; 	Poaceae;Urochloa	Poaceae;Agrostis; 	Poaceae;Sesleria; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P002_WB07_00023 	Ericaceae;Bryanthus; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium;
P002_WB08_00130 	Poaceae;Poa; 	Poaceae;Urochloa	Poaceae;Agrostis; 	Poaceae;Sesleria; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P002_WB10_00111 	Caryophyllaceae;Stellaria; 	Caryophyllaceae;Pseudostellaria	Ericaceae;Bryanthus; 	Ericaceae;Rhododendron; 	Ericaceae;Vaccinium; 	Lentibulariaceae;Pinguicula;
P002_WC07_00104 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium;
P002_WC12_00137 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P002_WG05_00027 	Poaceae;Calamagrostis; 	Poaceae;Urochloa	Poaceae;Agrostis; 	Poaceae;Sesleria; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P002_WG06_00024 	Juncaceae;Juncus; 	Philydraceae;Philydrum	Poaceae;Agrostis; 	Poaceae;Sesleria; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P002_WG08_00106 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P002_WG12_00007 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium	Ericaceae;Vaccinium; 	Ericaceae;Bryanthus; 	Ericaceae;Rhododendron; 	Ericaceae;Vaccinium;
P003_WA06_00073 	Poaceae;Festuca; 	Poaceae;Festuca	Poaceae;Festuca; 	Poaceae;Sesleria; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P003_WB09_00148 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P003_WD03_00075 	Lentibulariaceae;Pinguicula; 	Lentibulariaceae;Pinguicula	Ericaceae;Bryanthus; 	Ericaceae;Rhododendron; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium;
P003_WE04_00120 	Poaceae;Agrostis; 	Poaceae;Urochloa	Poaceae;Agrostis; 	Poaceae;Sesleria; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P003_WG09_00104 	Poaceae;Sesleria; 	Poaceae;Urochloa	Poaceae;Agrostis; 	Poaceae;Sesleria; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P004_WB01_00013 	Poaceae;Alopecurus; 	Poaceae;Urochloa	Poaceae;Agrostis; 	Poaceae;Sesleria; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P004_WF01_00078 	Cupressaceae;Juniperus; 	Cupressaceae;Calocedrus	Juncaceae;Luzula; 	Violaceae;Viola; 	Hypericaceae;Hypericum; 	Lentibulariaceae;Pinguicula;
P8807_506_00097 	Poaceae;Festuca; 	Poaceae;Festuca	Poaceae;Festuca; 	Poaceae;Sesleria; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
P8807_510_00122 	Violaceae;Viola; 	Violaceae;Viola	Salicaceae;Salix; 	Lentibulariaceae;Pinguicula; 	Hypericaceae;Hypericum; 	Ericaceae;Vaccinium;
P8807_517_00051 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium	Ericaceae;Vaccinium; 	Ericaceae;Bryanthus; 	Ericaceae;Rhododendron; 	Ericaceae;Vaccinium;
P8807_519_00068 	Salicaceae;Salix; 	Salicaceae;Salix	Violaceae;Viola; 	Lentibulariaceae;Pinguicula; 	Hypericaceae;Hypericum; 	Ericaceae;Vaccinium;
WA03_00009 	Poaceae;Calamagrostis; 	Poaceae;Urochloa	Poaceae;Agrostis; 	Poaceae;Sesleria; 	Poaceae;Alopecurus; 	Poaceae;Calamagrostis;
WA10_00014 	Juncaceae;Luzula; 	Cupressaceae;Calocedrus	Juncaceae;Luzula; 	Violaceae;Viola; 	Hypericaceae;Hypericum; 	Lentibulariaceae;Pinguicula;
WC06_00108 	Ericaceae;Vaccinium; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium;
