P001_WA03_00049 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Asteraceae;Cirsium;
P001_WA05_00067 	Poaceae;Festuca; 	Poaceae;Castellia	Cyperaceae;Carex; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WA06_00097 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA10_00104 	Rubiaceae;Cruciata; 	Rubiaceae;Galium	Fabaceae;Astragalus; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Sagina; 	Caryophyllaceae;Minuartia;
P001_WA11_00009 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Apiaceae;Seseli; 	Apiaceae;Bupleurum; 	Orobanchaceae;Pedicularis; 	Primulaceae;Androsace;
P001_WB02_00031 	Salicaceae;Salix; 	Poaceae;Avenella	Poaceae;Deschampsia; 	Poaceae;Avenella; 	Poaceae;Hyalopoa; 	Poaceae;Hierochloe;
P001_WB05_00103 	Poaceae;Anthoxanthum; 	Poaceae;Anthoxanthum	Poaceae;Deschampsia; 	Poaceae;Agrostis; 	Poaceae;Calamagrostis; 	Poaceae;Agrostis;
P001_WB08_00066 	Poaceae;Bromus; 	Poaceae;Agropyron	Poaceae;Hyalopoa; 	Poaceae;Hierochloe; 	Poaceae;Hierochloe; 	Poaceae;Helictotrichon;
P001_WC02_00044 	Poaceae;Deschampsia; 	Poaceae;Avenella	Poaceae;Deschampsia; 	Poaceae;Avenella; 	Poaceae;Hyalopoa; 	Poaceae;Hierochloe;
P001_WC04_00023 	Cupressaceae;Juniperus; 	Cupressaceae;Juniperus	Cupressaceae;Juniperus; 	Juncaceae;Luzula; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia;
P001_WC08_00073 	Apiaceae;Bupleurum; 	Apiaceae;Bupleurum	Caryophyllaceae;Minuartia; 	Apiaceae;Seseli; 	Orobanchaceae;Pedicularis; 	Campanulaceae;Campanula;
P001_WD01_00084 	Poaceae;Poa; 	Poaceae;Holcus	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Alopecurus; 	Poaceae;Poa;
P001_WD03_00114 	Poaceae;Calamagrostis; 	Poaceae;Avena	Poaceae;Deschampsia; 	Poaceae;Agrostis; 	Poaceae;Calamagrostis; 	Poaceae;Agrostis;
P001_WD05_00014 	Poaceae;Avenella; 	Poaceae;Avenella	Poaceae;Deschampsia; 	Poaceae;Avenella; 	Poaceae;Hyalopoa; 	Poaceae;Hierochloe;
P001_WD12_00004 	Asteraceae;Taraxacum; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WE02_00021 	Cyperaceae;Kobresia; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WE02_00045 	Cyperaceae;Kobresia; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Cyperaceae;Carex;
P001_WE11_00095 	Poaceae;Festuca; 	Poaceae;Castellia	Cyperaceae;Carex; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
