P001_WB01_00103 	Brassicaceae;Arabis	Poaceae;Avenella	Poaceae;Deschampsia	Poaceae;Avenella	Poaceae;Poa	Poaceae;Poa
P001_WB01_00141 	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Salicaceae;Salix	Orobanchaceae;Euphrasia
P001_WB01_00171 	Brassicaceae;Arabis	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus
P001_WB01_00289 	Brassicaceae;Arabis	Brassicaceae;Arabis	Brassicaceae;Draba	Asteraceae;Taraxacum	Brassicaceae;Draba	Brassicaceae;Draba
P001_WB02_00122 	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P001_WB02_00222 	Salicaceae;Salix	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia
P001_WB03_00042 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum
P001_WB03_00097 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Asteraceae;Antennaria	Cyperaceae;Eriophorum
P001_WC12_00027 	Cyperaceae;Carex	Cyperaceae;Carex	Crassulaceae;Sedum	Cyperaceae;Carex	Orobanchaceae;Bartsia	Cyperaceae;Carex
P001_WC12_00095 	Cyperaceae;Carex	Cyperaceae;Carex	Crassulaceae;Sedum	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WD08_00114 	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Cyperaceae;Carex	Caryophyllaceae;Cerastium
P001_WD08_00149 	Caryophyllaceae;Cerastium	Boraginaceae;Plagiobothrys	Boraginaceae;Myosotis	Asteraceae;Scorzonera	Plantaginaceae;Pennellianthus	Asteraceae;Cirsium
P001_WD11_00079 	Crassulaceae;Sedum	Crassulaceae;Rosularia	Crassulaceae;Sempervivum	Crassulaceae;Rhodiola	Crassulaceae;Sedum	Saxifragaceae;Chrysosplenium
P001_WD11_00127 	Crassulaceae;Sedum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum
P001_WD11_00269 	Crassulaceae;Sedum	Cyperaceae;Carex	Crassulaceae;Sedum	Cyperaceae;Carex	Orobanchaceae;Bartsia	Cyperaceae;Carex
P001_WD11_00359 	Crassulaceae;Sedum	Cyperaceae;Carex	Crassulaceae;Sedum	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WE02_00004 	Cyperaceae;Kobresia	Cyperaceae;Cyperus	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum
P001_WE02_00098 	Cyperaceae;Kobresia	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Orobanchaceae;Bartsia
P001_WE04_00080 	Tofieldiaceae;Tofieldia	Cyperaceae;Carex	Cyperaceae;Carex	Onagraceae;Epilobium	Cyperaceae;Carex	Orobanchaceae;Bartsia
P001_WE04_00179 	Tofieldiaceae;Tofieldia	Tofieldiaceae;Tofieldia	Liliaceae;Fritillaria	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus
P001_WE12_00059 	Cyperaceae;Carex	Cyperaceae;Carex	Onagraceae;Epilobium	Cyperaceae;Carex	Orobanchaceae;Bartsia	Cyperaceae;Carex
P001_WE12_00066 	Cyperaceae;Carex	Cyperaceae;Carex	Crassulaceae;Sedum	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WE12_00238 	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum
P001_WF06_00046 	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Salicaceae;Salix	Orobanchaceae;Euphrasia
P001_WF06_00184 	Orobanchaceae;Euphrasia	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca
P001_WG02_00121 	Cyperaceae;Carex	Ranunculaceae;Thalictrum	Cyperaceae;Carex	Ranunculaceae;Ranunculus	Ranunculaceae;Trollius	Ranunculaceae;Ranunculus
P001_WG02_00275 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Orobanchaceae;Bartsia	Cyperaceae;Carex
P001_WG03_00210 	Selaginellaceae;Selaginella	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Cyperaceae;Carex	Caryophyllaceae;Cerastium
P001_WG03_00237 	Selaginellaceae;Selaginella	Celastraceae;Parnassia	Celastraceae;Parnassia	Cupressaceae;Juniperus	Betulaceae;Betula	Rosaceae;Dryas
P001_WH02_00135 	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P001_WH02_00138 	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
