locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WH03_00001	CDS	2418	rpoB			RNA polymerase beta subunit
P002_WH03_00002	CDS	438	rpoC1_1			RNA polymerase beta' subunit
P002_WH03_00003	CDS	1680	rpoC1_2			RNA polymerase beta' subunit
P002_WH03_00004	CDS	4182	rpoC2			RNA polymerase beta'' subunit
P002_WH03_00005	CDS	711	rps2			ribosomal protein S2
P002_WH03_00006	CDS	789	atpI			ATP synthase CF0 subunit IV
P002_WH03_00007	CDS	246	atpH			ATP synthase CF0 subunit III
P002_WH03_00008	CDS	354				hypothetical protein
P002_WH03_00009	CDS	375	atpF			ATP synthase CF0 subunit I
P002_WH03_00010	CDS	1518	atpA			ATP synthase CF1 alpha subunit
P002_WH03_00011	tRNA	72				tRNA-Arg(tct)
P002_WH03_00012	tRNA	88				tRNA-Ser(gct)
P002_WH03_00013	CDS	159				hypothetical protein
P002_WH03_00014	CDS	195	psbK			photosystem II protein K
P002_WH03_00015	tRNA	72				tRNA-Gln(ttg)
P002_WH03_00016	CDS	294				hypothetical protein
P002_WH03_00017	CDS	1518	matK			maturase K
P002_WH03_00018	CDS	1062	psbA			photosystem II protein D1
P002_WH03_00019	tRNA	75				tRNA-His(gtg)
P002_WH03_00020	CDS	216				hypothetical protein
P002_WH03_00021	tRNA	74				tRNA-Asn(gtt)
P002_WH03_00022	tRNA	75				tRNA-Arg(acg)
P002_WH03_00023	rRNA	3011				23S ribosomal RNA
P002_WH03_00024	CDS	195				hypothetical protein
P002_WH03_00025	CDS	105				hypothetical protein
P002_WH03_00026	CDS	222				hypothetical protein
P002_WH03_00027	CDS	303				hypothetical protein
P002_WH03_00028	rRNA	1487				16S ribosomal RNA
P002_WH03_00029	tRNA	72				tRNA-Val(gac)
P002_WH03_00030	CDS	237				hypothetical protein
P002_WH03_00031	CDS	468	rps7			ribosomal protein S7
P002_WH03_00032	CDS	849	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P002_WH03_00033	CDS	783	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P002_WH03_00034	CDS	210				hypothetical protein
P002_WH03_00035	tRNA	83				tRNA-Leu(caa)
P002_WH03_00036	CDS	225				hypothetical protein
P002_WH03_00037	CDS	6840				hypothetical protein
P002_WH03_00038	tRNA	75				tRNA-Met(cat)
P002_WH03_00039	CDS	282	rpl23			ribosomal protein L23
P002_WH03_00040	CDS	402	rpl2_1			ribosomal protein L2
P002_WH03_00041	CDS	117				hypothetical protein
P002_WH03_00042	CDS	429	rpl2_2			ribosomal protein L2
P002_WH03_00043	CDS	279	rps19			ribosomal protein S19
P002_WH03_00044	CDS	438	rpl22			ribosomal protein L22
P002_WH03_00045	CDS	657	rps3			ribosomal protein S3
P002_WH03_00046	CDS	360	rpl16			ribosomal protein L16
P002_WH03_00047	CDS	369	rpl14			ribosomal protein L14
P002_WH03_00048	CDS	405	rps8			ribosomal protein S8
P002_WH03_00049	CDS	174	infA			translational initiation factor 1
P002_WH03_00050	CDS	408	rps11			ribosomal protein S11
P002_WH03_00051	CDS	1011	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P002_WH03_00052	CDS	459	petD			cytochrome b6/f complex subunit IV
P002_WH03_00053	CDS	489	petB			cytochrome b6
P002_WH03_00054	CDS	222	psbH			photosystem II phosphoprotein
P002_WH03_00055	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P002_WH03_00056	CDS	399	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WH03_00057	CDS	126				hypothetical protein
P002_WH03_00058	CDS	384	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WH03_00059	CDS	387	rpl20			ribosomal protein L20
P002_WH03_00060	CDS	309	rps18			ribosomal protein S18
P002_WH03_00061	CDS	135	psaJ			photosystem I subunit IX
P002_WH03_00062	tRNA	74				tRNA-Pro(tgg)
P002_WH03_00063	tRNA	74				tRNA-Trp(cca)
P002_WH03_00064	CDS	114	petG			cytochrome b6/f complex subunit V
P002_WH03_00065	CDS	129	petL			Cytochrome b6-f complex subunit 6
P002_WH03_00066	CDS	213				hypothetical protein
P002_WH03_00067	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P002_WH03_00068	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P002_WH03_00069	CDS	123	psbJ			photosystem II protein J
P002_WH03_00070	CDS	147				hypothetical protein
P002_WH03_00071	CDS	228				hypothetical protein
P002_WH03_00072	CDS	960	petA			cytochrome f
P002_WH03_00073	CDS	693	cemA			envelope membrane protein
P002_WH03_00074	CDS	531	ycf4			photosystem I assembly protein Ycf4
P002_WH03_00075	CDS	111	psaI			photosystem I subunit VIII
P002_WH03_00076	CDS	1506	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P002_WH03_00077	CDS	1443	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P002_WH03_00078	CDS	99				hypothetical protein
P002_WH03_00079	CDS	1491	atpB			ATP synthase CF1 beta subunit
P002_WH03_00080	CDS	399	atpE			ATP synthase CF1 epsilon subunit
P002_WH03_00081	tRNA	73				tRNA-Met(cat)
P002_WH03_00082	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P002_WH03_00083	CDS	684	ndhK			NADH-plastoquinone oxidoreductase subunit K
P002_WH03_00084	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P002_WH03_00085	tRNA	73				tRNA-Phe(gaa)
P002_WH03_00086	CDS	198				hypothetical protein
P002_WH03_00087	tRNA	75				tRNA-Thr(tgt)
P002_WH03_00088	CDS	606	rps4			ribosomal protein S4
P002_WH03_00089	tRNA	87				tRNA-Ser(gga)
P002_WH03_00090	CDS	135	ycf3_1			hypothetical chloroplast RF34
P002_WH03_00091	CDS	249	ycf3_2			hypothetical chloroplast RF34
P002_WH03_00092	CDS	2253	psaA			photosystem I P700 apoprotein A1
P002_WH03_00093	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WH03_00094	CDS	303	rps14			ribosomal protein S14
P002_WH03_00095	tRNA	75				tRNA-Met(cat)
P002_WH03_00096	tRNA	72				tRNA-Gly(gcc)
P002_WH03_00097	CDS	189	psbZ			photosystem II protein Z
P002_WH03_00098	tRNA	93				tRNA-Ser(tga)
P002_WH03_00099	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WH03_00100	CDS	468	psbD			photosystem II protein D2
P002_WH03_00101	CDS	3729				hypothetical protein
P002_WH03_00102	CDS	255	rps15			ribosomal protein S15
P002_WH03_00103	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P002_WH03_00104	CDS	576	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P002_WH03_00105	CDS	408	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P002_WH03_00106	CDS	504	ndhI			NADH-plastoquinone oxidoreductase subunit I
P002_WH03_00107	CDS	531	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P002_WH03_00108	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P002_WH03_00109	CDS	246	psaC			photosystem I subunit VII
P002_WH03_00110	CDS	189				hypothetical protein
P002_WH03_00111	CDS	1350	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P002_WH03_00112	CDS	738	ccsA_1			cytochrome c heme attachment protein
P002_WH03_00113	CDS	300	ccsA_2			cytochrome c heme attachment protein
P002_WH03_00114	tRNA	80				tRNA-Leu(tag)
P002_WH03_00115	CDS	2247	ndhF			NADH-plastoquinone oxidoreductase subunit 5
