locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_WE01_00001	CDS	1062	psbA			photosystem II protein D1
P001_WE01_00002	tRNA	75				tRNA-His(gtg)
P001_WE01_00003	tRNA	83				tRNA-Leu(caa)
P001_WE01_00004	CDS	177				hypothetical protein
P001_WE01_00005	CDS	153				hypothetical protein
P001_WE01_00006	CDS	783	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P001_WE01_00007	CDS	912	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
P001_WE01_00008	CDS	468	rps7			ribosomal protein S7
P001_WE01_00009	CDS	297				hypothetical protein
P001_WE01_00010	CDS	228				hypothetical protein
P001_WE01_00011	CDS	279				hypothetical protein
P001_WE01_00012	tRNA	72				tRNA-Val(gac)
P001_WE01_00013	rRNA	1487				16S ribosomal RNA
P001_WE01_00014	CDS	255				hypothetical protein
P001_WE01_00015	rRNA	3015				23S ribosomal RNA
P001_WE01_00016	CDS	132				hypothetical protein
P001_WE01_00017	tRNA	74				tRNA-Arg(acg)
P001_WE01_00018	CDS	192				hypothetical protein
P001_WE01_00019	tRNA	74				tRNA-Asn(gtt)
P001_WE01_00020	CDS	6435				hypothetical protein
P001_WE01_00021	tRNA	75				tRNA-Met(cat)
P001_WE01_00022	CDS	918	rpl2			ribosomal protein L2
P001_WE01_00023	CDS	279	rps19			ribosomal protein S19
P001_WE01_00024	CDS	462	rpl22			ribosomal protein L22
P001_WE01_00025	CDS	657	rps3			ribosomal protein S3
P001_WE01_00026	CDS	258	rpl16			ribosomal protein L16
P001_WE01_00027	CDS	366	rpl14			ribosomal protein L14
P001_WE01_00028	CDS	405	rps8			ribosomal protein S8
P001_WE01_00029	CDS	228				hypothetical protein
P001_WE01_00030	CDS	417	rps11			ribosomal protein S11
P001_WE01_00031	CDS	825	rpoA			RNA polymerase alpha subunit
P001_WE01_00032	CDS	561	petD			cytochrome b6/f complex subunit IV
P001_WE01_00033	CDS	489	petB			cytochrome b6
P001_WE01_00034	CDS	222	psbH			photosystem II phosphoprotein
P001_WE01_00035	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P001_WE01_00036	CDS	447				hypothetical protein
