P001_WB01_00030 	Brassicaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Lamiaceae	Plantaginaceae
P001_WB01_00193 	Brassicaceae	Brassicaceae	Asteraceae	Brassicaceae	Brassicaceae	Brassicaceae
P001_WB01_00385 	Brassicaceae	Ranunculaceae	Ranunculaceae	Ranunculaceae	Caryophyllaceae	Ranunculaceae
P001_WB01_00444 	Brassicaceae	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae
P001_WB02_00029 	Salicaceae	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae
P001_WB02_00080 	Salicaceae	Salicaceae	Salicaceae	Salicaceae	Salicaceae	Salicaceae
P001_WD08_00064 	Caryophyllaceae	Boraginaceae	Ericaceae	Ericaceae	Primulaceae	Primulaceae
P001_WD08_00188 	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Cyperaceae	Caryophyllaceae
P001_WD11_00066 	Crassulaceae	Cyperaceae	Crassulaceae	Cyperaceae	Polygonaceae	Cyperaceae
P001_WD11_00305 	Crassulaceae	Crassulaceae	Crassulaceae	Crassulaceae	Crassulaceae	Polygonaceae
P001_WD11_00346 	Crassulaceae	Crassulaceae	Crassulaceae	Crassulaceae	Crassulaceae	Polygonaceae
P001_WD11_00370 	Crassulaceae	Asteraceae	Asteraceae	Cyperaceae	Asteraceae	Asteraceae
P001_WE04_00129 	Tofieldiaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
P001_WE04_00250 	Tofieldiaceae	Tofieldiaceae	Apiaceae	Primulaceae	Apiaceae	Primulaceae
P001_WE12_00175 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
P001_WE12_00319 	Cyperaceae	Asteraceae	Asteraceae	Cyperaceae	Asteraceae	Asteraceae
P001_WF01_00102 	Equisetaceae	Equisetaceae	Equisetaceae	Equisetaceae	Equisetaceae	Equisetaceae
P001_WF01_00186 	Equisetaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
P001_WG02_00184 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
P001_WG02_00306 	Cyperaceae	Ranunculaceae	Cyperaceae	Selaginellaceae	Ranunculaceae	Cyperaceae
P001_WG03_00362 	Selaginellaceae	Celastraceae	Celastraceae	Primulaceae	Primulaceae	Primulaceae
P001_WG03_00386 	Selaginellaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Cyperaceae	Caryophyllaceae
P001_WG03_00403 	Selaginellaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
P001_WG03_00439 	Selaginellaceae	Ranunculaceae	Cyperaceae	Selaginellaceae	Ranunculaceae	Cyperaceae
P002_WC01_00051 	Rosaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae
P002_WC01_00099 	Rosaceae	Rosaceae	Rosaceae	Rosaceae	Rosaceae	Ericaceae
P002_WD01_00024 	Orobanchaceae	Rosaceae	Rosaceae	Orobanchaceae	Rosaceae	Rosaceae
P002_WD01_00214 	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae
P002_WE07_00024 	Rosaceae	Rosaceae	Rosaceae	Rosaceae	Rosaceae	Apiaceae
P002_WE07_00199 	Rosaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Ericaceae
P002_WF01_00066 	Poaceae	Asteraceae	Plantaginaceae	Poaceae	Asteraceae	Asteraceae
P002_WF01_00184 	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae
P002_WG02_00071 	Fabaceae	Plantaginaceae	Fabaceae	Plantaginaceae	Plantaginaceae	Asteraceae
P002_WG02_00204 	Fabaceae	Fabaceae	Fabaceae	Fabaceae	Fabaceae	Fabaceae
P003_WA07_00047 	Cyperaceae	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae
P003_WA07_00180 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
P003_WA10_00036 	Gentianaceae	Gentianaceae	Gentianaceae	Gentianaceae	Gentianaceae	Gentianaceae
P003_WA10_00224 	Gentianaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae
P003_WB08_00024 	Asteraceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
P003_WB08_00095 	Asteraceae	Asteraceae	Plantaginaceae	Poaceae	Asteraceae	Asteraceae
P003_WC07_00142 	Juncaceae	Brassicaceae	Brassicaceae	Asteraceae	Brassicaceae	Brassicaceae
P003_WC07_00204 	Juncaceae	Juncaceae	Juncaceae	Cyperaceae	Juncaceae	Juncaceae
P003_WC12_00153 	Juncaceae	Asteraceae	Asteraceae	Asteraceae	Juncaceae	Asteraceae
P003_WC12_00184 	Juncaceae	Juncaceae	Juncaceae	Cyperaceae	Juncaceae	Juncaceae
P003_WD12_00028 	Plantaginaceae	Plantaginaceae	Plantaginaceae	Plantaginaceae	Asteraceae	Fabaceae
P003_WD12_00202 	Plantaginaceae	Asteraceae	Plantaginaceae	Poaceae	Asteraceae	Asteraceae
P003_WE02_00076 	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae
P003_WE02_00108 	Poaceae	Asteraceae	Plantaginaceae	Poaceae	Asteraceae	Asteraceae
P003_WE11_00024 	Cyperaceae	Juncaceae	Juncaceae	Cyperaceae	Juncaceae	Juncaceae
P003_WE11_00202 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
P003_WE12_00075 	Caryophyllaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae	Cyperaceae	Caryophyllaceae
P003_WE12_00149 	Caryophyllaceae	Ranunculaceae	Ranunculaceae	Ranunculaceae	Caryophyllaceae	Ranunculaceae
P003_WF01_00207 	Onagraceae	Onagraceae	Saxifragaceae	Fabaceae	Betulaceae	Saxifragaceae
P003_WF01_00274 	Onagraceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
P003_WF01_00401 	Onagraceae	Orobanchaceae	Onagraceae	Orobanchaceae	Orobanchaceae	Orobanchaceae
P003_WF11_00017 	Ranunculaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae	Cyperaceae	Caryophyllaceae
P003_WF11_00088 	Ranunculaceae	Ranunculaceae	Ranunculaceae	Ranunculaceae	Caryophyllaceae	Ranunculaceae
