P001_WA03_00146 	Cyperaceae;Carex; 	Cyperaceae;Carex	Orobanchaceae;Bartsia; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA03_00148 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA04_00097 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WA04_00098 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WA05_00109 	Poaceae;Festuca; 	Poaceae;Festuca	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WA05_00110 	Poaceae;Festuca; 	Poaceae;Festuca	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WA06_00100 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA06_00101 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA07_00110 	Asteraceae;Omalotheca; 	Asteraceae;Antennaria	Asteraceae;Gnaphalium; 	Asteraceae;Antennaria; 	Poaceae;Festuca; 	Asteraceae;Antennaria;
P001_WA07_00111 	Asteraceae;Omalotheca; 	Asteraceae;Gamochaeta	Asteraceae;Antennaria; 	Asteraceae;Antennaria; 	Poaceae;Festuca; 	Asteraceae;Antennaria;
P001_WA08_00144 	Cyperaceae;Carex; 	Cyperaceae;Carex	Orobanchaceae;Bartsia; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA08_00145 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA10_00116 	Rubiaceae;Cruciata; 	Rubiaceae;Galium	Rubiaceae;Galium; 	Rubiaceae;Galium; 	Crassulaceae;Sedum; 	Ericaceae;Harrimanella;
P001_WA10_00117 	Rubiaceae;Cruciata; 	Rubiaceae;Galium	Rubiaceae;Galium; 	Rubiaceae;Galium; 	Asteraceae;Petasites; 	Asteraceae;Antennaria;
P001_WA11_00012 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Crassulaceae;Sedum; 	Campanulaceae;Campanula;
P001_WA11_00013 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Asteraceae;Gnaphalium; 	Campanulaceae;Campanula;
P001_WA12_00040 	Asteraceae;Matricaria; 	Asteraceae;Artemisia	Asteraceae;Artemisia; 	Asteraceae;Achillea; 	Asteraceae;Anthemis; 	Asteraceae;Leucanthemum;
P001_WA12_00041 	Asteraceae;Matricaria; 	Asteraceae;Tanacetum	Asteraceae;Anthemis; 	Asteraceae;Anthemis; 	Asteraceae;Leucanthemum; 	Asteraceae;Achillea;
P001_WB01_00006 	Brassicaceae;Arabis; 	Poaceae;Avenella	Poaceae;Deschampsia; 	Poaceae;Avenella; 	Poaceae;Arctagrostis; 	Poaceae;Sesleria;
P001_WB01_00256 	Brassicaceae;Arabis; 	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus; 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Ranunculus; 	Cyperaceae;Carex;
P001_WB01_00257 	Brassicaceae;Arabis; 	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus; 	Caryophyllaceae;Dianthus; 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Ranunculus;
P001_WB01_00430 	Brassicaceae;Arabis; 	Brassicaceae;Arabis	Juncaceae;Luzula; 	Brassicaceae;Cochlearia; 	Brassicaceae;Draba; 	Brassicaceae;Cardamine;
P001_WB01_00431 	Brassicaceae;Arabis; 	Brassicaceae;Arabis	Brassicaceae;Draba; 	Brassicaceae;Draba; 	Brassicaceae;Draba; 	Brassicaceae;Cardamine;
P001_WB01_00455 	Brassicaceae;Arabis; 	Poaceae;Avenella	Salicaceae;Salix; 	Poaceae;Deschampsia; 	Poaceae;Avenella; 	Poaceae;Sesleria;
P001_WB02_00101 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WB02_00102 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WB02_00135 	Salicaceae;Salix; 	Poaceae;Avenella	Salicaceae;Salix; 	Poaceae;Deschampsia; 	Poaceae;Avenella; 	Poaceae;Sesleria;
P001_WB03_00140 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum;
P001_WB03_00141 	Cyperaceae;Eriophorum; 	Cyperaceae;Eleocharis	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum;
P001_WB04_00121 	Betulaceae;Betula; 	Betulaceae;Betula	Betulaceae;Betula; 	Rosaceae;Dryas; 	Rosaceae;Dryas; 	Cyperaceae;Carex;
P001_WB04_00122 	Betulaceae;Betula; 	Betulaceae;Betula	Betulaceae;Betula; 	Rosaceae;Dryas; 	Cyperaceae;Carex; 	Rosaceae;Dryas;
P001_WB05_00039 	Poaceae;Anthoxanthum; 	Poaceae;Anthoxanthum	Poaceae;Calamagrostis; 	Poaceae;Hierochloe; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis;
P001_WB06_00085 	Gentianaceae;Comastoma; 	Gentianaceae;Swertia	Gentianaceae;Gentianella; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P001_WB07_00019 	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Fabaceae;Astragalus;
P001_WB07_00020 	Fabaceae;Oxytropis; 	Fabaceae;Carmichaelia	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Fabaceae;Astragalus;
P001_WB08_00111 	Poaceae;Bromus; 	Poaceae;Bromus	Poaceae;Phleum; 	Poaceae;Trisetum; 	Poaceae;Arctophila; 	Poaceae;Arctagrostis;
P001_WB08_00112 	Poaceae;Bromus; 	Poaceae;Bromus	Poaceae;Phleum; 	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa;
P001_WB09_00123 	Asteraceae;Leontodon; 	Asteraceae;Leucomeris	Asteraceae;Leontodon; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium;
P001_WB09_00124 	Asteraceae;Leontodon; 	Asteraceae;Sonchus	Asteraceae;Leontodon; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Solidago;
P001_WB10_00115 	Poaceae;Nardus; 	Poaceae;Nardus	Poaceae;Festuca; 	Poaceae;Sesleria; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WB10_00116 	Poaceae;Nardus; 	Poaceae;Nardus	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Agrostis;
P001_WB11_00048 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Asteraceae;Gnaphalium; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula;
P001_WB11_00049 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Crassulaceae;Sedum; 	Campanulaceae;Campanula;
P001_WB12_00140 	Asteraceae;Gnaphalium; 	Asteraceae;Antennaria	Asteraceae;Gnaphalium; 	Asteraceae;Antennaria; 	Poaceae;Festuca; 	Asteraceae;Antennaria;
P001_WB12_00141 	Asteraceae;Gnaphalium; 	Asteraceae;Gamochaeta	Asteraceae;Antennaria; 	Asteraceae;Antennaria; 	Poaceae;Festuca; 	Asteraceae;Antennaria;
P001_WB12_00149 	Asteraceae;Gnaphalium; 	Campanulaceae;Campanula	Asteraceae;Gnaphalium; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula;
P001_WC02_00070 	Poaceae;Deschampsia; 	Poaceae;Avenella	Salicaceae;Salix; 	Poaceae;Deschampsia; 	Poaceae;Avenella; 	Poaceae;Sesleria;
P001_WC02_00071 	Poaceae;Deschampsia; 	Poaceae;Avenella	Poaceae;Deschampsia; 	Poaceae;Avenella; 	Poaceae;Arctagrostis; 	Poaceae;Sesleria;
P001_WC03_00078 	Asteraceae;Erigeron; 	Asteraceae;Erigeron	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Solidago; 	Asteraceae;Aster;
P001_WC03_00079 	Asteraceae;Erigeron; 	Asteraceae;Erigeron	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Solidago; 	Asteraceae;Aster;
P001_WC04_00008 	Cupressaceae;Juniperus; 	Cupressaceae;Juniperus	Cupressaceae;Juniperus; 	Juncaceae;Luzula; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WC04_00009 	Cupressaceae;Juniperus; 	Cupressaceae;Juniperus	Cupressaceae;Juniperus; 	Juncaceae;Luzula; 	Rosaceae;Rubus; 	Crassulaceae;Sempervivum;
P001_WC06_00053 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P001_WC06_00054 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P001_WC07_00066 	Asteraceae;Leontodon; 	Asteraceae;Crepidiastrum	Asteraceae;Leontodon; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium;
P001_WC07_00067 	Asteraceae;Leontodon; 	Asteraceae;Sonchus	Asteraceae;Leontodon; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Solidago;
P001_WC08_00118 	Apiaceae;Bupleurum; 	Apiaceae;Bupleurum	Apiaceae;Bupleurum; 	Apiaceae;Peucedanum; 	Apiaceae;Seseli; 	Apiaceae;Ligusticum;
P001_WC08_00119 	Apiaceae;Bupleurum; 	Apiaceae;Bupleurum	Apiaceae;Bupleurum; 	Apiaceae;Seseli; 	Apiaceae;Chaerophyllum; 	Apiaceae;Ligusticum;
P001_WC09_00112 	Lamiaceae;Betonica; 	Lamiaceae;Colquhounia	Plantaginaceae;Plantago; 	Plantaginaceae;Veronica; 	Fabaceae;Hedysarum; 	Plantaginaceae;Veronica;
P001_WC10_00005 	Apiaceae;Carum; 	Apiaceae;Carum	Apiaceae;Carum; 	Apiaceae;Seseli; 	Apiaceae;Peucedanum; 	Apiaceae;Ligusticum;
P001_WC10_00006 	Apiaceae;Carum; 	Apiaceae;Carum	Apiaceae;Carum; 	Apiaceae;Seseli; 	Apiaceae;Peucedanum; 	Apiaceae;Ligusticum;
P001_WC11_00025 	Polygonaceae;Rumex; 	Polygonaceae;Rumex	Polygonaceae;Rumex; 	Polygonaceae;Rumex; 	Polygonaceae;Oxyria; 	Polygonaceae;Bistorta;
P001_WC11_00026 	Polygonaceae;Rumex; 	Polygonaceae;Rumex	Polygonaceae;Rumex; 	Polygonaceae;Rumex; 	Polygonaceae;Oxyria; 	Polygonaceae;Bistorta;
P001_WC12_00088 	Cyperaceae;Carex; 	Asteraceae;Taraxacum	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WC12_00125 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Kobresia; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WC12_00127 	Cyperaceae;Carex; 	Cyperaceae;Carex	Crassulaceae;Sedum; 	Cyperaceae;Kobresia; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WD01_00127 	Poaceae;Poa; 	Poaceae;Poa	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa;
P001_WD01_00128 	Poaceae;Poa; 	Poaceae;Poa	Poaceae;Poa; 	Poaceae;Phleum; 	Poaceae;Arctagrostis; 	Poaceae;Alopecurus;
P001_WD02_00113 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Micranthes	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Brassicaceae;Draba; 	Saxifragaceae;Chrysosplenium;
P001_WD02_00115 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Micranthes	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Chrysosplenium; 	Saxifragaceae;Saxifraga;
P001_WD03_00032 	Poaceae;Calamagrostis; 	Poaceae;Gastridium	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis;
P001_WD03_00033 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis;
P001_WD04_00134 	Ericaceae;Cassiope; 	Ericaceae;Rhododendron	Ericaceae;Harrimanella; 	Ericaceae;Phyllodoce; 	Ericaceae;Empetrum; 	Ericaceae;Rhododendron;
P001_WD04_00135 	Ericaceae;Cassiope; 	Ericaceae;Empetrum	Ericaceae;Harrimanella; 	Ericaceae;Phyllodoce; 	Ericaceae;Empetrum; 	Ericaceae;Vaccinium;
P001_WD05_00038 	Poaceae;Avenella; 	Poaceae;Avenella	Brassicaceae;Arabis; 	Salicaceae;Salix; 	Poaceae;Deschampsia; 	Poaceae;Sesleria;
