P001_WA10_00024 	Rubiaceae	Rubiaceae	Orobanchaceae	Ericaceae	Ericaceae	Ericaceae	Rubiaceae	98%	56	k141_172210
P001_WA11_00068 	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Ranunculaceae	Campanulaceae	100%	20	k141_26099
P001_WB04_00027 	Betulaceae	Betulaceae	Betulaceae	Rosaceae	Rosaceae	Cyperaceae	Betulaceae	100%	27	k141_9602
P001_WB09_00110 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	96%	60	k141_37073
P001_WB11_00014 	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Ranunculaceae	Campanulaceae	100%	21	k141_98959
P001_WB12_00089 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	100%	20	k141_106144
P001_WC03_00022 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Juncaceae	Asteraceae	100%	15	k141_66280
P001_WC07_00032 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	100%	21	k141_6894
P001_WC08_00005 	Apiaceae	Apiaceae	Apiaceae	Asteraceae	Asteraceae	Juncaceae	Apiaceae	100%	59	k141_7621
P001_WC09_00005 	Lamiaceae	Lamiaceae	Plantaginaceae	Rosaceae	Orobanchaceae	Orobanchaceae	Lamiaceae	100%	58	k141_79356
P001_WD08_00124 	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae	100%	20	k141_38028
P001_WE03_00021 	Ranunculaceae	Ranunculaceae	Crassulaceae	Ranunculaceae	Ranunculaceae	Saxifragaceae	Ranunculaceae	96%	55	k141_81427
P001_WE07_00128 	Juncaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	63%	7	k141_21561
P001_WF05_00078 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	100%	18	k141_2153
P001_WH01_00004 	Celastraceae	Celastraceae	Campanulaceae	Ranunculaceae	Ranunculaceae	Campanulaceae	Celastraceae	100%	54	k141_150824
P001_WH07_00130 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	100%	59	k141_44830
P001_WH08_00063 	Asteraceae	Asteraceae	Asteraceae	Juncaceae	Asteraceae	Asteraceae	Asteraceae	100%	12	k141_115270
P001_WH09_00042 	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	100%	19	k141_1514
P001_WH11_00053 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Juncaceae	Asteraceae	100%	30	k141_152546
P002_WA09_00092 	Rosaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae	Juncaceae	Rosaceae	100%	58	k141_18579
P002_WB02_00051 	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	98%	57	k141_13099
P002_WB05_00120 	Orobanchaceae	Orobanchaceae	Rosaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	92%	12	k141_25312
P002_WC01_00068 	Rosaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	100%	2	k141_7683
P002_WC01_00152 	Rosaceae	Rosaceae	Orobanchaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae	98%	56	k141_2358
P002_WC04_00005 	Asteraceae	Asteraceae	Juncaceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	100%	58	k141_16884
P002_WC06_00110 	Juncaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	70%	7	k141_3130
P002_WC10_00078 	Polygonaceae	Polygonaceae	Polygonaceae	Polygonaceae	Primulaceae	Ranunculaceae	Polygonaceae	100%	4	k141_85122
P002_WD01_00077 	Orobanchaceae	Rosaceae	Orobanchaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae	98%	56	k141_47466
P002_WD01_00119 	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	100%	2	k141_7478
P002_WD03_00109 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Juncaceae	Asteraceae	100%	57	k141_118009
P002_WD05_00082 	Plantaginaceae	Plantaginaceae	Lamiaceae	Plantaginaceae	Orobanchaceae	Orobanchaceae	Plantaginaceae	49%	28	k141_30947
P002_WD07_00082 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Plantaginaceae	Asteraceae	Asteraceae	100%	9	k141_36880
P002_WE01_00095 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	100%	57	k141_36493
P002_WE04_00044 	Ranunculaceae	Ranunculaceae	Ranunculaceae	Campanulaceae	Campanulaceae	Campanulaceae	Ranunculaceae	100%	49	k141_6424
P002_WE05_00036 	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Ranunculaceae	Campanulaceae	100%	22	k141_38973
P002_WE07_00143 	Rosaceae	Rosaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae	Rosaceae	100%	16	k141_64433
P002_WE07_00151 	Rosaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae	Caryophyllaceae	100%	12	k141_117724
P002_WE09_00074 	Betulaceae	Betulaceae	Betulaceae	Rosaceae	Rosaceae	Cyperaceae	Betulaceae	100%	12	k141_2533
P002_WF06_00092 	Ericaceae	Theaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	85%	6	k141_49039
P002_WF11_00022 	Juncaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	54%	6	k141_42675
P002_WG06_00004 	Juncaceae	Juncaceae	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Juncaceae	100%	1	k141_92462
P002_WG10_00102 	Saxifragaceae	Saxifragaceae	Saxifragaceae	Ranunculaceae	Ranunculaceae	Crassulaceae	Saxifragaceae	96%	56	k141_26293
P002_WG12_00117 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	100%	4	k141_2750
P002_WH01_00114 	Ranunculaceae	Ranunculaceae	Ranunculaceae	Saxifragaceae	Saxifragaceae	Crassulaceae	Ranunculaceae	100%	52	k141_22909
P002_WH04_00038 	Apiaceae	Apiaceae	Apiaceae	Asteraceae	Asteraceae	Juncaceae	Apiaceae	100%	20	k141_58864
P002_WH05_00032 	Ranunculaceae	Ranunculaceae	Ranunculaceae	Campanulaceae	Campanulaceae	Campanulaceae	Ranunculaceae	100%	48	k141_38023
P002_WH06_00030 	Asteraceae	Asteraceae	Asteraceae	Juncaceae	Asteraceae	Asteraceae	Asteraceae	100%	57	k141_21258
P003_WA04_00103 	Crassulaceae	Crassulaceae	Ranunculaceae	Saxifragaceae	Saxifragaceae	Campanulaceae	Crassulaceae	100%	56	k141_108355
P003_WA09_00076 	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Ranunculaceae	Caryophyllaceae	100%	54	k141_82458
P003_WA11_00005 	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	100%	58	k141_44990
P003_WC01_00105 	Polygonaceae	Polygonaceae	Polygonaceae	Polygonaceae	Primulaceae	Ranunculaceae	Polygonaceae	100%	5	k141_47292
P003_WC07_00110 	Juncaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	70%	7	k141_19988
P003_WC12_00056 	Juncaceae	Asteraceae	Juncaceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	100%	21	k141_65494
P003_WC12_00102 	Juncaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae	63%	7	k141_16296
