locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_WC11_00001	CDS	429	rpl2_1			ribosomal protein L2
P001_WC11_00002	CDS	402	rpl2_2			ribosomal protein L2
P001_WC11_00003	tRNA	75				tRNA-Met(cat)
P001_WC11_00004	CDS	6285				hypothetical protein
P001_WC11_00005	tRNA	83				tRNA-Leu(caa)
P001_WC11_00006	CDS	204				hypothetical protein
P001_WC11_00007	CDS	783	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P001_WC11_00008	CDS	858	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P001_WC11_00009	CDS	105				hypothetical protein
P001_WC11_00010	CDS	468	rps7			ribosomal protein S7
P001_WC11_00011	CDS	126				hypothetical protein
P001_WC11_00012	CDS	276				hypothetical protein
P001_WC11_00013	tRNA	72				tRNA-Val(gac)
P001_WC11_00014	rRNA	1487				16S ribosomal RNA
P001_WC11_00015	CDS	363				hypothetical protein
P001_WC11_00016	CDS	312				hypothetical protein
P001_WC11_00017	rRNA	3013				23S ribosomal RNA
P001_WC11_00018	CDS	204				hypothetical protein
P001_WC11_00019	tRNA	75				tRNA-Arg(acg)
P001_WC11_00020	CDS	108				hypothetical protein
P001_WC11_00021	tRNA	74				tRNA-Asn(gtt)
P001_WC11_00022	CDS	5649				hypothetical protein
P001_WC11_00023	CDS	246	rps15			ribosomal protein S15
P001_WC11_00024	CDS	1209	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P001_WC11_00025	CDS	567	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P001_WC11_00026	CDS	486	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P001_WC11_00027	CDS	513	ndhI			NADH-plastoquinone oxidoreductase subunit I
P001_WC11_00028	CDS	117				hypothetical protein
P001_WC11_00029	CDS	534	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P001_WC11_00030	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P001_WC11_00031	CDS	246	psaC			photosystem I subunit VII
P001_WC11_00032	CDS	1521	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P001_WC11_00033	CDS	966	ccsA			cytochrome c heme attachment protein
P001_WC11_00034	tRNA	81				tRNA-Leu(tag)
P001_WC11_00035	CDS	111				hypothetical protein
P001_WC11_00036	CDS	2250	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P001_WC11_00037	CDS	249	ycf3_1			hypothetical chloroplast RF34
P001_WC11_00038	CDS	201	ycf3_2			Photosystem I assembly protein Ycf3
P001_WC11_00039	CDS	2253	psaA			photosystem I P700 apoprotein A1
P001_WC11_00040	CDS	2205	psaB			photosystem I P700 apoprotein A2
P001_WC11_00041	CDS	210				hypothetical protein
P001_WC11_00042	tRNA	76				tRNA-Met(cat)
P001_WC11_00043	tRNA	72				tRNA-Gly(gcc)
P001_WC11_00044	CDS	189	psbZ			photosystem II protein Z
P001_WC11_00045	tRNA	88				tRNA-Ser(tga)
P001_WC11_00046	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P001_WC11_00047	CDS	1062	psbD			photosystem II protein D2
P001_WC11_00048	CDS	207				hypothetical protein
P001_WC11_00049	tRNA	74				tRNA-Thr(ggt)
P001_WC11_00050	tRNA	75				tRNA-Glu(ttc)
P001_WC11_00051	tRNA	86				tRNA-Tyr(gta)
P001_WC11_00052	tRNA	77				tRNA-Asp(gtc)
P001_WC11_00053	CDS	228				hypothetical protein
P001_WC11_00054	CDS	108				hypothetical protein
P001_WC11_00055	tRNA	72				tRNA-Cys(gca)
P001_WC11_00056	CDS	3234	rpoB			RNA polymerase beta subunit
P001_WC11_00057	CDS	435	rpoC1_1			RNA polymerase beta' subunit
P001_WC11_00058	CDS	279				hypothetical protein
P001_WC11_00059	CDS	1422	rpoC1_2			RNA polymerase beta' subunit
P001_WC11_00060	CDS	4068	rpoC2			RNA polymerase beta'' subunit
P001_WC11_00061	CDS	711	rps2			ribosomal protein S2
P001_WC11_00062	CDS	744	atpI			ATP synthase CF0 subunit IV
P001_WC11_00063	CDS	135				hypothetical protein
P001_WC11_00064	CDS	246	atpH			ATP synthase CF0 subunit III
P001_WC11_00065	CDS	171	atpF_1			ATP synthase CF0 subunit I
P001_WC11_00066	CDS	186				hypothetical protein
P001_WC11_00067	CDS	375	atpF_2			ATP synthase CF0 subunit I
P001_WC11_00068	CDS	1515	atpA			ATP synthase CF1 alpha subunit
P001_WC11_00069	tRNA	72				tRNA-Arg(tct)
P001_WC11_00070	tRNA	90				tRNA-Ser(gct)
P001_WC11_00071	tRNA	72				tRNA-Gln(ttg)
P001_WC11_00072	CDS	1533	matK			maturase K
P001_WC11_00073	CDS	1062	psbA			photosystem II protein D1
P001_WC11_00074	tRNA	75				tRNA-His(gtg)
P001_WC11_00075	CDS	153				hypothetical protein
P001_WC11_00076	rRNA	3058				23S ribosomal RNA
P001_WC11_00077	CDS	234				hypothetical protein
P001_WC11_00078	CDS	195	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P001_WC11_00079	CDS	153				hypothetical protein
P001_WC11_00080	CDS	198	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P001_WC11_00081	CDS	387	rplT		COG0292	50S ribosomal protein L20
P001_WC11_00082	CDS	315	rps18			ribosomal protein S18
P001_WC11_00083	CDS	135	psaJ			photosystem I subunit IX
P001_WC11_00084	tRNA	76				tRNA-Pro(tgg)
P001_WC11_00085	tRNA	74				tRNA-Trp(cca)
P001_WC11_00086	CDS	96	petL			cytochrome b6/f complex subunit VI
P001_WC11_00087	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P001_WC11_00088	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P001_WC11_00089	CDS	966	petA			cytochrome f
P001_WC11_00090	CDS	684	cemA			envelope membrane protein
P001_WC11_00091	CDS	555	ycf4			photosystem I assembly protein Ycf4
P001_WC11_00092	CDS	1458	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P001_WC11_00093	CDS	1449	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P001_WC11_00094	CDS	1497	atpB			ATP synthase CF1 beta subunit
P001_WC11_00095	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P001_WC11_00096	tRNA	73				tRNA-Met(cat)
P001_WC11_00097	CDS	216				hypothetical protein
P001_WC11_00098	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P001_WC11_00099	CDS	741	ndhK			NADH-plastoquinone oxidoreductase subunit K
P001_WC11_00100	CDS	564	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P001_WC11_00101	tRNA	74				tRNA-Phe(gaa)
P001_WC11_00102	CDS	222				hypothetical protein
P001_WC11_00103	tRNA	75				tRNA-Thr(tgt)
P001_WC11_00104	CDS	597	rps4			ribosomal protein S4
P001_WC11_00105	tRNA	87				tRNA-Ser(gga)
P001_WC11_00106	CDS	150				hypothetical protein
P001_WC11_00107	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P001_WC11_00108	CDS	489				hypothetical protein
P001_WC11_00109	CDS	489	petB			cytochrome b6
P001_WC11_00110	CDS	420	petD			cytochrome b6/f complex subunit IV
P001_WC11_00111	CDS	801	rpoA			RNA polymerase alpha subunit
P001_WC11_00112	CDS	417	rps11			ribosomal protein S11
P001_WC11_00113	CDS	234	infA			translational initiation factor 1
P001_WC11_00114	CDS	405	rps8			ribosomal protein S8
P001_WC11_00115	CDS	369	rpl14			ribosomal protein L14
P001_WC11_00116	CDS	360	rpl16			ribosomal protein L16
P001_WC11_00117	CDS	657	rps3			ribosomal protein S3
P001_WC11_00118	CDS	456	rpl22			ribosomal protein L22
P001_WC11_00119	CDS	279	rps19			ribosomal protein S19
