locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WF04_00001	CDS	150				hypothetical protein
P002_WF04_00002	tRNA	73				tRNA-Gln(ttg)
P002_WF04_00003	CDS	297	psbK			Photosystem II reaction center protein K
P002_WF04_00004	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P002_WF04_00005	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P002_WF04_00006	CDS	123	psbJ			photosystem II protein J
P002_WF04_00007	CDS	111				hypothetical protein
P002_WF04_00008	CDS	162	petA			cytochrome f
P002_WF04_00009	CDS	219				hypothetical protein
P002_WF04_00010	tRNA	72				tRNA-Val(gac)
P002_WF04_00011	rRNA	1487				16S ribosomal RNA
P002_WF04_00012	CDS	216				hypothetical protein
P002_WF04_00013	rRNA	3012				23S ribosomal RNA
P002_WF04_00014	tRNA	75				tRNA-Arg(acg)
P002_WF04_00015	tRNA	74				tRNA-Asn(gtt)
P002_WF04_00016	CDS	216				hypothetical protein
P002_WF04_00017	CDS	294				hypothetical protein
P002_WF04_00018	CDS	912	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
P002_WF04_00019	CDS	783	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P002_WF04_00020	tRNA	83				tRNA-Leu(caa)
P002_WF04_00021	CDS	321				hypothetical protein
P002_WF04_00022	CDS	6837				hypothetical protein
P002_WF04_00023	tRNA	75				tRNA-Met(cat)
P002_WF04_00024	CDS	282	rpl23			ribosomal protein L23
P002_WF04_00025	CDS	402	rpl2_1			ribosomal protein L2
P002_WF04_00026	CDS	498	rpl2_2			ribosomal protein L2
P002_WF04_00027	tRNA	75				tRNA-His(gtg)
P002_WF04_00028	CDS	1059	psbA			photosystem II protein D1
P002_WF04_00029	CDS	1536	matK			maturase K
P002_WF04_00030	CDS	270				hypothetical protein
P002_WF04_00031	CDS	303	rps14			ribosomal protein S14
P002_WF04_00032	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WF04_00033	CDS	2253	psaA			photosystem I P700 apoprotein A1
P002_WF04_00034	tRNA	74				tRNA-Trp(cca)
P002_WF04_00035	tRNA	74				tRNA-Pro(tgg)
P002_WF04_00036	CDS	171				hypothetical protein
P002_WF04_00037	CDS	306	rps18			ribosomal protein S18
P002_WF04_00038	CDS	387	rpl20			ribosomal protein L20
P002_WF04_00039	CDS	345	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WF04_00040	CDS	390	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WF04_00041	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P002_WF04_00042	CDS	222	psbH			photosystem II phosphoprotein
P002_WF04_00043	CDS	489	petB			cytochrome b6
P002_WF04_00044	CDS	525	petD			cytochrome b6/f complex subunit IV
P002_WF04_00045	CDS	234	rpoA_1	2.7.7.6		DNA-directed RNA polymerase subunit alpha
P002_WF04_00046	CDS	711	rpoA_2			RNA polymerase alpha subunit
P002_WF04_00047	CDS	417	rps11			ribosomal protein S11
P002_WF04_00048	CDS	132				hypothetical protein
P002_WF04_00049	CDS	153				hypothetical protein
P002_WF04_00050	CDS	234	infA			translational initiation factor 1
P002_WF04_00051	CDS	405	rps8			ribosomal protein S8
P002_WF04_00052	CDS	369	rpl14			ribosomal protein L14
P002_WF04_00053	CDS	360	rpl16			ribosomal protein L16
P002_WF04_00054	CDS	144				hypothetical protein
P002_WF04_00055	CDS	231	rps3			ribosomal protein S3
P002_WF04_00056	CDS	2244	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P002_WF04_00057	tRNA	80				tRNA-Leu(tag)
P002_WF04_00058	CDS	294	ccsA_1			cytochrome c heme attachment protein
P002_WF04_00059	CDS	720	ccsA_2			cytochrome c heme attachment protein
P002_WF04_00060	CDS	1617	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P002_WF04_00061	CDS	246	psaC			photosystem I subunit VII
P002_WF04_00062	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P002_WF04_00063	CDS	588	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P002_WF04_00064	CDS	507	ndhI			NADH-plastoquinone oxidoreductase subunit I
P002_WF04_00065	CDS	372	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P002_WF04_00066	CDS	567	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P002_WF04_00067	CDS	1212	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P002_WF04_00068	CDS	264	rps15			ribosomal protein S15
P002_WF04_00069	CDS	204				hypothetical protein
P002_WF04_00070	CDS	4434				hypothetical protein
P002_WF04_00071	tRNA	75				tRNA-Met(cat)
P002_WF04_00072	tRNA	72				tRNA-Gly(gcc)
P002_WF04_00073	CDS	306	psbZ			Photosystem II reaction center protein Z
P002_WF04_00074	tRNA	93				tRNA-Ser(tga)
P002_WF04_00075	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WF04_00076	CDS	1062	psbD			photosystem II protein D2
P002_WF04_00077	CDS	252				hypothetical protein
P002_WF04_00078	tRNA	74				tRNA-Thr(ggt)
P002_WF04_00079	tRNA	73				tRNA-Glu(ttc)
P002_WF04_00080	tRNA	86				tRNA-Tyr(gta)
P002_WF04_00081	tRNA	77				tRNA-Asp(gtc)
P002_WF04_00082	tRNA	71				tRNA-Cys(gca)
P002_WF04_00083	CDS	3213	rpoB			RNA polymerase beta subunit
P002_WF04_00084	CDS	438	rpoC1_1			RNA polymerase beta' subunit
P002_WF04_00085	CDS	1566	rpoC1_2			RNA polymerase beta' subunit
P002_WF04_00086	CDS	4146	rpoC2			RNA polymerase beta'' subunit
