P001_WA01_00082 	Saxifragaceae	Poaceae	Ranunculaceae	Saxifragaceae	Saxifragaceae	Crassulaceae
P001_WA10_00024 	Rubiaceae	Rubiaceae	Orobanchaceae	Ericaceae	Ericaceae	Ericaceae
P001_WA11_00068 	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Ranunculaceae
P001_WB04_00027 	Cupressaceae	Betulaceae	Betulaceae	Rosaceae	Rosaceae	Cyperaceae
P001_WB09_00110 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P001_WB11_00014 	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Ranunculaceae
P001_WB12_00089 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P001_WC03_00022 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Juncaceae
P001_WC07_00032 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P001_WC08_00005 	Apiaceae	Apiaceae	Apiaceae	Asteraceae	Asteraceae	Juncaceae
P001_WC09_00005 	Lamiaceae	Lamiaceae	Plantaginaceae	Rosaceae	Orobanchaceae	Orobanchaceae
P001_WD08_00124 	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Ranunculaceae
P001_WE03_00021 	Ranunculaceae	Ranunculaceae	Crassulaceae	Ranunculaceae	Ranunculaceae	Saxifragaceae
P001_WE07_00128 	Juncaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae
P001_WF05_00078 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P001_WG03_00348 	Selaginellaceae	Celastraceae	Celastraceae	Campanulaceae	Ranunculaceae	Ranunculaceae
P001_WH01_00004 	Celastraceae	Celastraceae	Celastraceae	Campanulaceae	Ranunculaceae	Ranunculaceae
P001_WH07_00130 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P001_WH08_00063 	Asteraceae	Asteraceae	Asteraceae	Juncaceae	Asteraceae	Asteraceae
P001_WH09_00042 	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae
P001_WH11_00053 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Juncaceae
P002_WA09_00092 	Rosaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae	Juncaceae
P002_WB02_00051 	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae
P002_WB05_00120 	Orobanchaceae	Orobanchaceae	Rosaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae
P002_WC01_00068 	Rosaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae
P002_WC01_00152 	Rosaceae	Rosaceae	Orobanchaceae	Rosaceae	Rosaceae	Cyperaceae
P002_WC04_00005 	Asteraceae	Asteraceae	Juncaceae	Asteraceae	Asteraceae	Asteraceae
P002_WC06_00110 	Juncaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae
P002_WC10_00078 	Polygonaceae	Polygonaceae	Polygonaceae	Polygonaceae	Primulaceae	Ranunculaceae
P002_WD01_00077 	Orobanchaceae	Rosaceae	Orobanchaceae	Rosaceae	Rosaceae	Cyperaceae
P002_WD01_00119 	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae
P002_WD03_00109 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Juncaceae
P002_WD05_00082 	Plantaginaceae	Plantaginaceae	Lamiaceae	Plantaginaceae	Orobanchaceae	Orobanchaceae
P002_WD07_00082 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Plantaginaceae	Asteraceae
P002_WE01_00095 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P002_WE04_00044 	Ranunculaceae	Ranunculaceae	Ranunculaceae	Campanulaceae	Campanulaceae	Campanulaceae
P002_WE05_00036 	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Campanulaceae	Ranunculaceae
P002_WE07_00143 	Rosaceae	Rosaceae	Rosaceae	Rosaceae	Cyperaceae	Rosaceae
