P001_WD11_00112 	Crassulaceae;Sedum	Crassulaceae;Rosularia	Saxifragaceae;Saxifraga	Ranunculaceae;Ranunculus	Asteraceae;Hieracium	Asteraceae;Hieracium
P001_WD11_00142 	Crassulaceae;Sedum	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WE12_00006 	Cyperaceae;Carex	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Asteraceae;Hieracium
P001_WE12_00224 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WG02_00068 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WG02_00171 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P002_WH08_00001 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P002_WH08_00178 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
WC03_00011 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola
WC03_00050 	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola	Ericaceae;Pyrola
