P001_WA02_00102 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia	Brassicaceae;Arabis; 	Salicaceae;Salix; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia;
P001_WA03_00050 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA04_00011 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WA05_00096 	Poaceae;Festuca; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WA06_00096 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA07_00090 	Asteraceae;Omalotheca; 	Asteraceae;Taraxacum	Asteraceae;Gnaphalium; 	Poaceae;Festuca; 	Asteraceae;Antennaria; 	Asteraceae;Taraxacum;
P001_WA08_00120 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA09_00022 	Ophioglossaceae;Botrychium; 	Ophioglossaceae;Botrychium	Salicaceae;Salix; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Bartsia;
P001_WA10_00010 	Rubiaceae;Cruciata; 	Rubiaceae;Theligonum	Rubiaceae;Galium; 	Rubiaceae;Galium; 	Gentianaceae;Comastoma; 	Gentianaceae;Gentianella;
P001_WA11_00018 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula;
P001_WA12_00018 	Asteraceae;Matricaria; 	Asteraceae;Silphium	Asteraceae;Hieracium; 	Asteraceae;Saussurea; 	Asteraceae;Petasites; 	Asteraceae;Hieracium;
P001_WB01_00080 	Brassicaceae;Arabis; 	Brassicaceae;Brassica	Juncaceae;Luzula; 	Brassicaceae;Draba; 	Brassicaceae;Cochlearia; 	Brassicaceae;Draba;
P001_WB01_00245 	Brassicaceae;Arabis; 	Poaceae;Elymus	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WB01_00358 	Brassicaceae;Arabis; 	Orobanchaceae;Euphrasia	Brassicaceae;Arabis; 	Salicaceae;Salix; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia;
