P001_WA03_00004 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WB04_00093 	Betulaceae;Betula; 	Betulaceae;Betula	Betulaceae;Betula; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Cyperaceae;Carex;
P001_WC07_00109 	Asteraceae;Leontodon; 	Theaceae;Camellia	Asteraceae;Hieracium; 	Asteraceae;Petasites; 	Asteraceae;Hieracium; 	Asteraceae;Taraxacum;
P001_WC12_00147 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WD08_00052 	Caryophyllaceae;Cerastium; 	Solanaceae;Nicotiana	Asteraceae;Hieracium; 	Asteraceae;Petasites; 	Asteraceae;Hieracium; 	Asteraceae;Taraxacum;
P001_WD11_00279 	Crassulaceae;Sedum; 	Crassulaceae;Rosularia	Asteraceae;Antennaria; 	Poaceae;Festuca; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WD11_00294 	Crassulaceae;Sedum; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WD12_00080 	Asteraceae;Taraxacum; 	Theaceae;Camellia	Asteraceae;Hieracium; 	Asteraceae;Petasites; 	Asteraceae;Hieracium; 	Asteraceae;Taraxacum;
P001_WE02_00016 	Cyperaceae;Kobresia; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WE12_00121 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WE12_00255 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WF02_00102 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WF03_00030 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium	Caryophyllaceae;Stellaria; 	Caryophyllaceae;Minuartia; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WG04_00070 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WG08_00040 	Asteraceae;Anthemis; 	Theaceae;Camellia	Asteraceae;Hieracium; 	Asteraceae;Petasites; 	Asteraceae;Hieracium; 	Asteraceae;Taraxacum;
