P001_WA10_00024 	Rubiaceae;Cruciata; 	Rubiaceae;Rubia	Orobanchaceae;Pedicularis; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium; 	Ericaceae;Vaccinium;
P001_WA11_00068 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Ranunculaceae;Anemone;
P001_WB04_00027 	Betulaceae;Betula; 	Betulaceae;Betula	Betulaceae;Betula; 	Rosaceae;Spiraea; 	Rosaceae;Dryas; 	Cyperaceae;Carex;
P001_WB09_00110 	Asteraceae;Leontodon; 	Asteraceae;Cichorium	Asteraceae;Leontodon; 	Asteraceae;Centaurea; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium;
P001_WB11_00014 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Ranunculaceae;Anemone;
P001_WB12_00089 	Asteraceae;Gnaphalium; 	Asteraceae;Gamochaeta	Asteraceae;Antennaria; 	Asteraceae;Antennaria; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium;
P001_WC03_00022 	Asteraceae;Erigeron; 	Asteraceae;Pityopsis	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Solidago; 	Juncaceae;Luzula;
P001_WC07_00032 	Asteraceae;Leontodon; 	Asteraceae;Cichorium	Asteraceae;Leontodon; 	Asteraceae;Centaurea; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium;
P001_WC08_00005 	Apiaceae;Bupleurum; 	Apiaceae;Bupleurum	Apiaceae;Bupleurum; 	Asteraceae;Leontodon; 	Asteraceae;Centaurea; 	Juncaceae;Luzula;
P001_WC09_00005 	Lamiaceae;Betonica; 	Lamiaceae;Stenogyne	Plantaginaceae;Pennellianthus; 	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P001_WD08_00124 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Dianthus; 	Caryophyllaceae;Minuartia; 	Ranunculaceae;Ranunculus;
P001_WE03_00021 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Ranunculus	Crassulaceae;Sedum; 	Ranunculaceae;Anemone; 	Ranunculaceae;Anemone; 	Saxifragaceae;Saxifraga;
P001_WE07_00128 	Juncaceae;Luzula; 	Cyperaceae;Cyperus	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Juncaceae;Luzula;
P001_WF05_00078 	Asteraceae;Antennaria; 	Asteraceae;Antennaria	Asteraceae;Antennaria; 	Asteraceae;Gnaphalium; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium;
P001_WH01_00004 	Celastraceae;Parnassia; 	Celastraceae;Parnassia	Campanulaceae;Campanula; 	Ranunculaceae;Anemone; 	Ranunculaceae;Anemone; 	Campanulaceae;Campanula;
P001_WH07_00130 	Asteraceae;Scorzonera; 	Asteraceae;Cichorium	Asteraceae;Leontodon; 	Asteraceae;Leontodon; 	Asteraceae;Centaurea; 	Asteraceae;Hieracium;
P001_WH08_00063 	Asteraceae;Anthemis; 	Asteraceae;Ismelia	Asteraceae;Artemisia; 	Juncaceae;Luzula; 	Asteraceae;Solidago; 	Asteraceae;Saussurea;
P001_WH09_00042 	Primulaceae;Primula; 	Primulaceae;Primula	Primulaceae;Primula; 	Primulaceae;Androsace; 	Primulaceae;Soldanella; 	Primulaceae;Soldanella;
