locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WB06_00001	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WB06_00002	CDS	123				hypothetical protein
P002_WB06_00003	CDS	180				hypothetical protein
P002_WB06_00004	tRNA	75				tRNA-Met(cat)
P002_WB06_00005	tRNA	72				tRNA-Gly(gcc)
P002_WB06_00006	CDS	189	psbZ			photosystem II protein Z
P002_WB06_00007	tRNA	93				tRNA-Ser(tga)
P002_WB06_00008	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WB06_00009	CDS	1062	psbD			photosystem II protein D2
P002_WB06_00010	tRNA	74				tRNA-Thr(ggt)
P002_WB06_00011	tRNA	75				tRNA-Glu(ttc)
P002_WB06_00012	tRNA	86				tRNA-Tyr(gta)
P002_WB06_00013	tRNA	77				tRNA-Asp(gtc)
P002_WB06_00014	CDS	159				hypothetical protein
P002_WB06_00015	tRNA	71				tRNA-Cys(gca)
P002_WB06_00016	CDS	156				hypothetical protein
P002_WB06_00017	CDS	3213	rpoB			RNA polymerase beta subunit
P002_WB06_00018	CDS	513	rpoC1_1			RNA polymerase beta' subunit
P002_WB06_00019	CDS	1647	rpoC1_2			RNA polymerase beta' subunit
P002_WB06_00020	CDS	4080	rpoC2			RNA polymerase beta'' subunit
P002_WB06_00021	CDS	711	rps2			ribosomal protein S2
P002_WB06_00022	CDS	744	atpI			ATP synthase CF0 subunit IV
P002_WB06_00023	CDS	246	atpH			ATP synthase CF0 subunit III
P002_WB06_00024	CDS	555	atpF			ATP synthase CF0 subunit I
P002_WB06_00025	CDS	1524	atpA			ATP synthase CF1 alpha subunit
P002_WB06_00026	tRNA	72				tRNA-Arg(tct)
P002_WB06_00027	tRNA	88				tRNA-Ser(gct)
P002_WB06_00028	CDS	195	psbK			photosystem II protein K
P002_WB06_00029	tRNA	72				tRNA-Gln(ttg)
P002_WB06_00030	CDS	1503	matK			maturase K
P002_WB06_00031	CDS	954	psbA			photosystem II protein D1
P002_WB06_00032	tRNA	75				tRNA-His(gtg)
P002_WB06_00033	CDS	498	rpl2_1			ribosomal protein L2
P002_WB06_00034	CDS	402	rpl2_2			ribosomal protein L2
P002_WB06_00035	CDS	282	rpl23			ribosomal protein L23
P002_WB06_00036	tRNA	75				tRNA-Met(cat)
P002_WB06_00037	CDS	6828				hypothetical protein
P002_WB06_00038	CDS	282				hypothetical protein
P002_WB06_00039	tRNA	83				tRNA-Leu(caa)
P002_WB06_00040	CDS	156				hypothetical protein
P002_WB06_00041	CDS	783	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P002_WB06_00042	CDS	795	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P002_WB06_00043	CDS	468	rps7			ribosomal protein S7
P002_WB06_00044	CDS	348				hypothetical protein
P002_WB06_00045	CDS	153				hypothetical protein
P002_WB06_00046	tRNA	72				tRNA-Val(gac)
P002_WB06_00047	rRNA	1487				16S ribosomal RNA
P002_WB06_00048	CDS	216				hypothetical protein
P002_WB06_00049	CDS	105				hypothetical protein
P002_WB06_00050	CDS	264				hypothetical protein
P002_WB06_00051	rRNA	3010				23S ribosomal RNA
P002_WB06_00052	tRNA	75				tRNA-Arg(acg)
P002_WB06_00053	tRNA	74				tRNA-Asn(gtt)
P002_WB06_00054	CDS	225				hypothetical protein
P002_WB06_00055	CDS	249	ycf3			hypothetical chloroplast RF34
P002_WB06_00056	tRNA	87				tRNA-Ser(gga)
P002_WB06_00057	CDS	606	rps4			ribosomal protein S4
P002_WB06_00058	tRNA	75				tRNA-Thr(tgt)
P002_WB06_00059	CDS	177				hypothetical protein
P002_WB06_00060	CDS	189				hypothetical protein
P002_WB06_00061	tRNA	74				tRNA-Phe(gaa)
P002_WB06_00062	CDS	603	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
P002_WB06_00063	CDS	735	ndhK			NADH-plastoquinone oxidoreductase subunit K
P002_WB06_00064	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P002_WB06_00065	tRNA	73				tRNA-Met(cat)
P002_WB06_00066	CDS	405	atpE			ATP synthase CF1 epsilon subunit
P002_WB06_00067	CDS	1623	atpB			ATP synthase CF1 beta subunit
P002_WB06_00068	CDS	1428	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P002_WB06_00069	CDS	1476	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P002_WB06_00070	CDS	555	ycf4			photosystem I assembly protein Ycf4
P002_WB06_00071	CDS	729	cemA			envelope membrane protein
P002_WB06_00072	CDS	963	petA			cytochrome f
P002_WB06_00073	CDS	123	psbJ			photosystem II protein J
P002_WB06_00074	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P002_WB06_00075	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P002_WB06_00076	tRNA	74				tRNA-Trp(cca)
P002_WB06_00077	tRNA	76				tRNA-Pro(tgg)
P002_WB06_00078	CDS	129	psaJ			photosystem I subunit IX
P002_WB06_00079	CDS	306	rps18			ribosomal protein S18
P002_WB06_00080	CDS	354	rpl20			ribosomal protein L20
P002_WB06_00081	CDS	249				hypothetical protein
P002_WB06_00082	CDS	222	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
