P001_WB01_00036 	Brassicaceae;Arabis	Plantaginaceae;Veronica	Brassicaceae;Arabis	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Orobanchaceae;Euphrasia
P001_WB01_00179 	Brassicaceae;Arabis	Ranunculaceae;Ranunculus	Violaceae;Viola	Geraniaceae;Geranium	Gentianaceae;Gentiana	Brassicaceae;Draba
P001_WB01_00306 	Brassicaceae;Arabis	Poaceae;Avena	Asteraceae;Cirsium	Poaceae;Hierochloe	Poaceae;Festuca	Poaceae;Poa
P001_WD11_00049 	Crassulaceae;Sedum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Saussurea	Asteraceae;Hieracium
P001_WD11_00087 	Crassulaceae;Sedum	Crassulaceae;Rosularia	Ericaceae;Bryanthus	Primulaceae;Primula	Orobanchaceae;Euphrasia	Ericaceae;Pyrola
P001_WE12_00027 	Cyperaceae;Carex	Cyperaceae;Eleocharis	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Carex
P001_WE12_00103 	Cyperaceae;Carex	Poaceae;Avena	Asteraceae;Cirsium	Poaceae;Hierochloe	Poaceae;Festuca	Poaceae;Poa
P001_WE12_00107 	Cyperaceae;Carex	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Asteraceae;Hieracium	Ericaceae;Pyrola
P001_WE12_00334 	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Saussurea	Asteraceae;Hieracium
P001_WH06_00004 	Poaceae;Trisetum	Asteraceae;Tragopogon	Asteraceae;Scorzonera	Asteraceae;Hieracium	Asteraceae;Saussurea	Asteraceae;Hieracium
P001_WH06_00027 	Poaceae;Trisetum	Poaceae;Oryza	Poaceae;Trisetum	Poaceae;Trisetum	Poaceae;Festuca	Poaceae;Poa
P001_WH06_00072 	Poaceae;Trisetum	Poaceae;Oryza	Poaceae;Trisetum	Poaceae;Trisetum	Poaceae;Festuca	Poaceae;Poa
P001_WH12_00030 	Asteraceae;Hieracium	Asteraceae;Helianthus	Asteraceae;Antennaria	Asteraceae;Hieracium	Asteraceae;Saussurea	Asteraceae;Hieracium
P001_WH12_00103 	Asteraceae;Hieracium	Asteraceae;Helianthus	Asteraceae;Antennaria	Asteraceae;Hieracium	Asteraceae;Saussurea	Asteraceae;Hieracium
P002_WE07_00102 	Rosaceae;Spiraea	Caryophyllaceae;Silene	Caryophyllaceae;Minuartia	Caryophyllaceae;Silene	Caryophyllaceae;Sagina	Caryophyllaceae;Silene
P002_WE07_00125 	Rosaceae;Spiraea	Rosaceae;Spiraea	Apiaceae;Bupleurum	Rosaceae;Potentilla	Cyperaceae;Carex	Primulaceae;Primula
P003_WE11_00114 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Polygonaceae;Oxyria
P003_WE11_00253 	Cyperaceae;Carex	Cyperaceae;Eleocharis	Juncaceae;Luzula	Juncaceae;Luzula	Juncaceae;Luzula	Juncaceae;Luzula
P003_WF01_00160 	Onagraceae;Epilobium	Onagraceae;Epilobium	Cyperaceae;Carex	Geraniaceae;Geranium	Ericaceae;Vaccinium	Geraniaceae;Geranium
P003_WF01_00369 	Onagraceae;Epilobium	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Polygonaceae;Oxyria
P003_WG02_00003 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Polygonaceae;Oxyria
P003_WG02_00350 	Cyperaceae;Carex	Rosaceae;Hagenia	Cyperaceae;Carex	Apiaceae;Bupleurum	Rosaceae;Potentilla	Orobanchaceae;Pedicularis
P003_WG11_00187 	Asteraceae;Cirsium	Cyperaceae;Carex	Asteraceae;Cirsium	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P003_WG11_00276 	Asteraceae;Cirsium	Poaceae;Avena	Asteraceae;Cirsium	Poaceae;Hierochloe	Poaceae;Festuca	Poaceae;Poa
P8807_505_00027 	Cyperaceae;Carex	Cyperaceae;Eleocharis	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Carex
P8807_505_00028 	Cyperaceae;Carex	Cyperaceae;Eleocharis	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Carex
