P001_WA08_00018 	Cyperaceae;Carex	Cyperaceae;Hypolytrum	Orchidaceae;Coeloglossum	Ranunculaceae;Trollius	Caryophyllaceae;Silene	Caryophyllaceae;Silene
P001_WA08_00019 	Cyperaceae;Carex	Cyperaceae;Hypolytrum	Ranunculaceae;Anemone	Ranunculaceae;Anemone	Ranunculaceae;Trollius	Selaginellaceae;Selaginella
P001_WB01_00008 	Brassicaceae;Arabis	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P001_WB01_00068 	Brassicaceae;Arabis	Poaceae;Avenella	Poaceae;Avenella	Poaceae;Arctagrostis	Poaceae;Alopecurus	Poaceae;Alopecurus
P001_WB01_00069 	Brassicaceae;Arabis	Poaceae;Avenella	Salicaceae;Salix	Poaceae;Deschampsia	Poaceae;Avenella	Poaceae;Festuca
P001_WB01_00075 	Brassicaceae;Arabis	Brassicaceae;Arabis	Cupressaceae;Juniperus	Betulaceae;Betula	Rosaceae;Spiraea	Salicaceae;Salix
P001_WB01_00094 	Brassicaceae;Arabis	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P001_WB01_00112 	Brassicaceae;Arabis	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Cyperaceae;Carex
P001_WB01_00222 	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Orobanchaceae;Bartsia	Orobanchaceae;Pedicularis
P001_WB02_00030 	Salicaceae;Salix	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Salicaceae;Salix	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia
P001_WB02_00146 	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P001_WB02_00255 	Salicaceae;Salix	Poaceae;Avenella	Salicaceae;Salix	Poaceae;Deschampsia	Poaceae;Avenella	Poaceae;Festuca
P001_WB05_00007 	Poaceae;Anthoxanthum	Poaceae;Anthoxanthum	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P001_WB05_00008 	Poaceae;Anthoxanthum	Poaceae;Anthoxanthum	Poaceae;Hierochloe	Poaceae;Hierochloe	Poaceae;Calamagrostis	Poaceae;Agrostis
P001_WB05_00009 	Poaceae;Anthoxanthum	Poaceae;Anthoxanthum	Asteraceae;Cirsium	Poaceae;Hierochloe	Poaceae;Festuca	Poaceae;Festuca
P001_WB06_00011 	Gentianaceae;Comastoma	Gentianaceae;Swertia	Gentianaceae;Gentianella	Gentianaceae;Gentiana	Orobanchaceae;Euphrasia	Gentianaceae;Gentiana
P001_WB06_00013 	Gentianaceae;Comastoma	Gentianaceae;Swertia	Gentianaceae;Gentianella	Orobanchaceae;Euphrasia	Gentianaceae;Gentiana	Gentianaceae;Gentiana
P001_WB08_00106 	Poaceae;Bromus	Poaceae;Bromus	Poaceae;Festuca	Poaceae;Sesleria	Poaceae;Festuca	Poaceae;Festuca
P001_WB08_00107 	Poaceae;Bromus	Poaceae;Bromus	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P001_WB12_00070 	Asteraceae;Gnaphalium	Asteraceae;Pseudognaphalium	Asteraceae;Gnaphalium	Asteraceae;Antennaria	Asteraceae;Antennaria	Asteraceae;Antennaria
P001_WB12_00128 	Asteraceae;Gnaphalium	Poaceae;Deschampsia	Cyperaceae;Carex	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca
P001_WD03_00002 	Poaceae;Calamagrostis	Poaceae;Chikusichloa	Poaceae;Catabrosella	Poaceae;Hyalopoa	Poaceae;Calamagrostis	Poaceae;Arctagrostis
P001_WD03_00003 	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P001_WD03_00004 	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P001_WD04_00005 	Ericaceae;Cassiope	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P001_WD04_00006 	Ericaceae;Cassiope	Ericaceae;Vaccinium	Primulaceae;Primula	Primulaceae;Primula	Primulaceae;Primula	Primulaceae;Trientalis
P001_WD04_00007 	Ericaceae;Cassiope	Ericaceae;Rhododendron	Saxifragaceae;Chrysosplenium	Primulaceae;Trientalis	Primulaceae;Primula	Primulaceae;Primula
