P001_WD11_00279 	Crassulaceae;Sedum	Crassulaceae;Rosularia	Asteraceae;Antennaria	Poaceae;Festuca	Salicaceae;Salix	Salicaceae;Salix
P001_WD11_00294 	Crassulaceae;Sedum	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Polygonaceae;Oxyria	Cyperaceae;Carex
P001_WE12_00121 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Polygonaceae;Oxyria	Cyperaceae;Carex
P001_WE12_00255 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Polygonaceae;Oxyria	Cyperaceae;Carex
P003_WB05_00041 	Salicaceae;Salix	Ranunculaceae;Trollius	Salicaceae;Salix	Asteraceae;Antennaria	Poaceae;Festuca	Caryophyllaceae;Minuartia
P003_WB05_00072 	Salicaceae;Salix	Ranunculaceae;Trollius	Salicaceae;Salix	Asteraceae;Antennaria	Poaceae;Festuca	Caryophyllaceae;Minuartia
P003_WB08_00106 	Asteraceae;Antennaria	Asteraceae;Anaphalis	Poaceae;Festuca	Asteraceae;Petasites	Asteraceae;Hieracium	Asteraceae;Taraxacum
P003_WB08_00199 	Asteraceae;Antennaria	Cyperaceae;Scirpus	Cyperaceae;Eriophorum	Asteraceae;Antennaria	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum
P003_WC07_00019 	Juncaceae;Luzula	Juncaceae;Luzula	Juncaceae;Luzula	Cyperaceae;Carex	Polygonaceae;Oxyria	Cyperaceae;Carex
P003_WC07_00131 	Juncaceae;Luzula	Brassicaceae;Morettia	Salicaceae;Salix	Salicaceae;Salix	Onagraceae;Epilobium	Cyperaceae;Carex
P003_WC12_00140 	Juncaceae;Luzula	Asteraceae;Pityopsis	Asteraceae;Solidago	Asteraceae;Aster	Asteraceae;Hieracium	Asteraceae;Taraxacum
P003_WC12_00200 	Juncaceae;Luzula	Juncaceae;Luzula	Juncaceae;Luzula	Cyperaceae;Carex	Polygonaceae;Oxyria	Cyperaceae;Carex
P003_WF01_00220 	Onagraceae;Epilobium	Onagraceae;Epilobium	Caryophyllaceae;Minuartia	Salicaceae;Salix	Salicaceae;Salix	Caryophyllaceae;Cerastium
P003_WF01_00413 	Onagraceae;Epilobium	Orobanchaceae;Pedicularis	Asteraceae;Scorzonera	Asteraceae;Antennaria	Poaceae;Festuca	Asteraceae;Taraxacum
P003_WG02_00051 	Cyperaceae;Carex	Rosaceae;Rhaphiolepis	Salicaceae;Salix	Salicaceae;Salix	Asteraceae;Antennaria	Poaceae;Festuca
P003_WG02_00084 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Polygonaceae;Oxyria	Cyperaceae;Carex
