P001_WB01_00188 	Brassicaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae	Lentibulariaceae
P001_WB01_00381 	Brassicaceae	Ranunculaceae	Ranunculaceae	Ranunculaceae	Ranunculaceae	Ranunculaceae
P001_WB01_00449 	Brassicaceae	Poaceae	Salicaceae	Poaceae	Saxifragaceae	Poaceae
P001_WB01_00469 	Brassicaceae	Brassicaceae	Papaveraceae	Brassicaceae	Brassicaceae	Brassicaceae
P001_WB02_00086 	Salicaceae	Poaceae	Salicaceae	Poaceae	Saxifragaceae	Poaceae
P001_WB02_00231 	Salicaceae	Orobanchaceae	Plantaginaceae	Fabaceae	Ericaceae	Orobanchaceae
P001_WB02_00241 	Salicaceae	Salicaceae	Salicaceae	Salicaceae	Salicaceae	Salicaceae
P001_WD08_00059 	Caryophyllaceae	Boraginaceae	Boraginaceae	Primulaceae	Primulaceae	Primulaceae
P001_WD08_00183 	Caryophyllaceae	Caryophyllaceae	Selaginellaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae
P001_WD11_00189 	Crassulaceae	Crassulaceae	Brassicaceae	Saxifragaceae	Cyperaceae	Crassulaceae
P001_WD11_00256 	Crassulaceae	Asteraceae	Asteraceae	Cyperaceae	Poaceae	Asteraceae
P001_WE12_00181 	Cyperaceae	Cyperaceae	Onagraceae	Cyperaceae	Asteraceae	Cyperaceae
P001_WE12_00315 	Cyperaceae	Asteraceae	Asteraceae	Cyperaceae	Poaceae	Asteraceae
P001_WG03_00245 	Selaginellaceae	Cyperaceae	Selaginellaceae	Cyperaceae	Cyperaceae	Cyperaceae
P001_WG03_00381 	Selaginellaceae	Caryophyllaceae	Selaginellaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae
P002_WF01_00071 	Poaceae	Asteraceae	Poaceae	Plantaginaceae	Asteraceae	Ericaceae
P002_WF01_00179 	Poaceae	Poaceae	Brassicaceae	Salicaceae	Poaceae	Poaceae
P002_WH08_00184 	Cyperaceae	Cyperaceae	Cyperaceae	Onagraceae	Cyperaceae	Asteraceae
P002_WH08_00201 	Cyperaceae	Cyperaceae	Cyperaceae	Onagraceae	Cyperaceae	Asteraceae
P003_WA10_00032 	Gentianaceae	Gentianaceae	Gentianaceae	Gentianaceae	Ericaceae	Orobanchaceae
P003_WA10_00195 	Gentianaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae	Primulaceae
P003_WC07_00086 	Juncaceae	Bromeliaceae	Juncaceae	Cyperaceae	Juncaceae	Selaginellaceae
P003_WC07_00137 	Juncaceae	Brassicaceae	Brassicaceae	Brassicaceae	Brassicaceae	Brassicaceae
P003_WC12_00148 	Juncaceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P003_WC12_00257 	Juncaceae	Bromeliaceae	Juncaceae	Cyperaceae	Juncaceae	Selaginellaceae
P003_WE11_00092 	Cyperaceae	Bromeliaceae	Juncaceae	Cyperaceae	Juncaceae	Selaginellaceae
P003_WE11_00198 	Cyperaceae	Cyperaceae	Tofieldiaceae	Cyperaceae	Cyperaceae	Asteraceae
P003_WF01_00212 	Onagraceae	Onagraceae	Cyperaceae	Primulaceae	Rosaceae	Primulaceae
P003_WF01_00279 	Onagraceae	Cyperaceae	Onagraceae	Cyperaceae	Asteraceae	Cyperaceae
P003_WF01_00407 	Onagraceae	Orobanchaceae	Orobanchaceae	Lentibulariaceae	Orobanchaceae	Orobanchaceae
P003_WG02_00044 	Cyperaceae	Rosaceae	Rosaceae	Saxifragaceae	Brassicaceae	Saxifragaceae
P003_WG02_00104 	Cyperaceae	Cyperaceae	Onagraceae	Cyperaceae	Asteraceae	Cyperaceae
P003_WG08_00128 	Brassicaceae	Brassicaceae	Papaveraceae	Brassicaceae	Brassicaceae	Brassicaceae
P003_WG08_00221 	Brassicaceae	Saxifragaceae	Saxifragaceae	Cyperaceae	Crassulaceae	Saxifragaceae
