P001_WD11_00112 	Crassulaceae	Crassulaceae	Saxifragaceae	Ranunculaceae	Asteraceae	Asteraceae
P001_WD11_00142 	Crassulaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P001_WE12_00006 	Cyperaceae	Asteraceae	Cyperaceae	Asteraceae	Asteraceae	Asteraceae
P001_WE12_00224 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P001_WG02_00068 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P001_WG02_00171 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P002_WH08_00001 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P002_WH08_00178 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
WC03_00011 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
WC03_00050 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
