locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_WA05_00001	CDS	1062	psbA			photosystem II protein D1
P001_WA05_00002	CDS	1536	matK			maturase K
P001_WA05_00003	CDS	168				hypothetical protein
P001_WA05_00004	tRNA	72				tRNA-Gln(ttg)
P001_WA05_00005	CDS	300	psbK			Photosystem II reaction center protein K
P001_WA05_00006	CDS	177				hypothetical protein
P001_WA05_00007	tRNA	89				tRNA-Ser(gct)
P001_WA05_00008	CDS	291				hypothetical protein
P001_WA05_00009	CDS	171				hypothetical protein
P001_WA05_00010	CDS	1062	psbD			photosystem II protein D2
P001_WA05_00011	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P001_WA05_00012	tRNA	88				tRNA-Ser(tga)
P001_WA05_00013	CDS	213	psbZ			photosystem II protein Z
P001_WA05_00014	CDS	174				hypothetical protein
P001_WA05_00015	tRNA	72				tRNA-Gly(gcc)
P001_WA05_00016	tRNA	76				tRNA-Met(cat)
P001_WA05_00017	tRNA	74				tRNA-Thr(ggt)
P001_WA05_00018	tRNA	75				tRNA-Glu(ttc)
P001_WA05_00019	tRNA	86				tRNA-Tyr(gta)
P001_WA05_00020	tRNA	74				tRNA-Asp(gtc)
P001_WA05_00021	CDS	90	petN			cytochrome b6/f complex subunit VII
P001_WA05_00022	CDS	294				hypothetical protein
P001_WA05_00023	tRNA	71				tRNA-Cys(gca)
P001_WA05_00024	CDS	3231	rpoB			RNA polymerase beta subunit
P001_WA05_00025	CDS	2031	rpoC1			RNA polymerase beta' subunit
P001_WA05_00026	CDS	4422	rpoC2	2.7.7.6		DNA-directed RNA polymerase subunit beta'
P001_WA05_00027	CDS	711	rps2			ribosomal protein S2
P001_WA05_00028	CDS	864	atpI			ATP synthase CF0 subunit IV
P001_WA05_00029	CDS	171				hypothetical protein
P001_WA05_00030	CDS	246	atpH			ATP synthase CF0 subunit III
P001_WA05_00031	CDS	171	atpF_1			ATP synthase CF0 subunit I
P001_WA05_00032	CDS	372	atpF_2			ATP synthase CF0 subunit I
P001_WA05_00033	CDS	1515	atpA			ATP synthase CF1 alpha subunit
P001_WA05_00034	tRNA	72				tRNA-Arg(tct)
P001_WA05_00035	CDS	312	rps14			ribosomal protein S14
P001_WA05_00036	CDS	2205	psaB			photosystem I P700 apoprotein A2
P001_WA05_00037	CDS	2253	psaA			photosystem I P700 apoprotein A1
P001_WA05_00038	CDS	249	ycf3_1			hypothetical chloroplast RF34
P001_WA05_00039	CDS	135	ycf3_2			hypothetical chloroplast RF34
P001_WA05_00040	CDS	168				hypothetical protein
P001_WA05_00041	tRNA	87				tRNA-Ser(gga)
P001_WA05_00042	CDS	606	rps4			ribosomal protein S4
P001_WA05_00043	tRNA	75				tRNA-Thr(tgt)
P001_WA05_00044	CDS	210				hypothetical protein
P001_WA05_00045	tRNA	73				tRNA-Phe(gaa)
P001_WA05_00046	CDS	489	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P001_WA05_00047	CDS	747	ndhK			NADH-plastoquinone oxidoreductase subunit K
P001_WA05_00048	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P001_WA05_00049	tRNA	75				tRNA-Met(cat)
P001_WA05_00050	CDS	414	atpE			ATP synthase CF1 epsilon subunit
P001_WA05_00051	CDS	1497	atpB			ATP synthase CF1 beta subunit
P001_WA05_00052	CDS	1440	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P001_WA05_00053	CDS	195				hypothetical protein
P001_WA05_00054	CDS	111	psaI			photosystem I subunit VIII
P001_WA05_00055	CDS	690	ycf4			photosystem I assembly protein Ycf4
P001_WA05_00056	CDS	678	cemA			envelope membrane protein
P001_WA05_00057	CDS	963	petA			cytochrome f
P001_WA05_00058	CDS	123	psbJ			photosystem II protein J
P001_WA05_00059	CDS	153	psbF			Cytochrome b559 subunit beta
P001_WA05_00060	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P001_WA05_00061	CDS	96	petL			cytochrome b6/f complex subunit VI
P001_WA05_00062	tRNA	74				tRNA-Trp(cca)
P001_WA05_00063	tRNA	76				tRNA-Pro(tgg)
P001_WA05_00064	CDS	159	psaJ			photosystem I subunit IX
P001_WA05_00065	CDS	513				hypothetical protein
P001_WA05_00066	CDS	360	rpl20			ribosomal protein L20
P001_WA05_00067	CDS	174				hypothetical protein
P001_WA05_00068	CDS	645	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P001_WA05_00069	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P001_WA05_00070	CDS	117	psbT			photosystem II protein T
P001_WA05_00071	CDS	357	psbH			Photosystem II reaction center protein H
P001_WA05_00072	CDS	177				hypothetical protein
P001_WA05_00073	CDS	699	petB			cytochrome b6
P001_WA05_00074	CDS	525	petD			cytochrome b6/f complex subunit IV
P001_WA05_00075	CDS	1032	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P001_WA05_00076	CDS	432	rps11			ribosomal protein S11
P001_WA05_00077	CDS	186				hypothetical protein
P001_WA05_00078	CDS	342	infA			Translation initiation factor IF-1
P001_WA05_00079	CDS	411	rps8			ribosomal protein S8
P001_WA05_00080	CDS	372	rpl14			ribosomal protein L14
P001_WA05_00081	CDS	363	rpl16			ribosomal protein L16
P001_WA05_00082	CDS	102				hypothetical protein
P001_WA05_00083	CDS	720	rps3			ribosomal protein S3
P001_WA05_00084	CDS	444				hypothetical protein
P001_WA05_00085	CDS	273	rps15			ribosomal protein S15
