P001_WA07_00037 	Asteraceae	Rubiaceae	Rubiaceae	Rubiaceae	Rubiaceae	Apiaceae
P001_WA07_00078 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Poaceae	Asteraceae
P001_WB01_00144 	Brassicaceae	Poaceae	Salicaceae	Poaceae	Poaceae	Poaceae
P001_WB01_00230 	Brassicaceae	Orobanchaceae	Brassicaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae
P001_WB01_00362 	Brassicaceae	Ranunculaceae	Ranunculaceae	Caryophyllaceae	Ranunculaceae	Ranunculaceae
P001_WB01_00484 	Brassicaceae	Brassicaceae	Asteraceae	Brassicaceae	Brassicaceae	Brassicaceae
P001_WB02_00014 	Salicaceae	Salicaceae	Salicaceae	Salicaceae	Salicaceae	Salicaceae
P001_WB02_00187 	Salicaceae	Orobanchaceae	Brassicaceae	Salicaceae	Orobanchaceae	Orobanchaceae
P001_WB02_00262 	Salicaceae	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae
P001_WC10_00016 	Apiaceae	Apiaceae	Apiaceae	Apiaceae	Apiaceae	Apiaceae
P001_WC10_00104 	Apiaceae	Apiaceae	Apiaceae	Apiaceae	Apiaceae	Apiaceae
P001_WD04_00041 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P001_WD04_00122 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P001_WD04_00123 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P001_WD04_00124 	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae	Ericaceae
P001_WD08_00041 	Caryophyllaceae	Boraginaceae	Boraginaceae	Plantaginaceae	Asteraceae	Asteraceae
P001_WD08_00166 	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Cyperaceae	Caryophyllaceae
P001_WD11_00290 	Crassulaceae	Crassulaceae	Crassulaceae	Crassulaceae	Crassulaceae	Saxifragaceae
P001_WD11_00363 	Crassulaceae	Cyperaceae	Crassulaceae	Cyperaceae	Cyperaceae	Cyperaceae
P001_WE04_00106 	Tofieldiaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P001_WE04_00275 	Tofieldiaceae	Tofieldiaceae	Liliaceae	Liliaceae	Ranunculaceae	Cyperaceae
P001_WE12_00091 	Cyperaceae	Cyperaceae	Cyperaceae	Crassulaceae	Cyperaceae	Cyperaceae
P001_WE12_00299 	Cyperaceae	Asteraceae	Asteraceae	Cyperaceae	Asteraceae	Asteraceae
P001_WE12_00359 	Cyperaceae	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae
P001_WF06_00122 	Orobanchaceae	Orobanchaceae	Brassicaceae	Orobanchaceae	Orobanchaceae	Orobanchaceae
P001_WF06_00238 	Orobanchaceae	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae
P001_WG02_00227 	Cyperaceae	Cyperaceae	Selaginellaceae	Cyperaceae	Cyperaceae	Cyperaceae
P001_WG02_00235 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
