P001_WD11_00279 	Crassulaceae	Crassulaceae	Asteraceae	Poaceae	Salicaceae	Salicaceae
P001_WD11_00294 	Crassulaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
P001_WE12_00121 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
P001_WE12_00255 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
P003_WB05_00041 	Salicaceae	Ranunculaceae	Salicaceae	Asteraceae	Poaceae	Caryophyllaceae
P003_WB05_00072 	Salicaceae	Ranunculaceae	Salicaceae	Asteraceae	Poaceae	Caryophyllaceae
P003_WB08_00106 	Asteraceae	Asteraceae	Poaceae	Asteraceae	Asteraceae	Asteraceae
P003_WB08_00199 	Asteraceae	Cyperaceae	Cyperaceae	Asteraceae	Cyperaceae	Cyperaceae
P003_WC07_00019 	Juncaceae	Juncaceae	Juncaceae	Cyperaceae	Polygonaceae	Cyperaceae
P003_WC07_00131 	Juncaceae	Brassicaceae	Salicaceae	Salicaceae	Onagraceae	Cyperaceae
P003_WC12_00140 	Juncaceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P003_WC12_00200 	Juncaceae	Juncaceae	Juncaceae	Cyperaceae	Polygonaceae	Cyperaceae
P003_WF01_00220 	Onagraceae	Onagraceae	Caryophyllaceae	Salicaceae	Salicaceae	Caryophyllaceae
P003_WF01_00413 	Onagraceae	Orobanchaceae	Asteraceae	Asteraceae	Poaceae	Asteraceae
P003_WG02_00051 	Cyperaceae	Rosaceae	Salicaceae	Salicaceae	Asteraceae	Poaceae
P003_WG02_00084 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae	Cyperaceae
