locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_A01_00001	CDS	150	ndhH_1	7.1.1.-	COG0649	NAD(P)H-quinone oxidoreductase subunit H
P001_A01_00002	CDS	2220	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
P001_A01_00003	CDS	162				hypothetical protein
P001_A01_00004	CDS	180				hypothetical protein
P001_A01_00005	tRNA	80				tRNA-Leu(tag)
P001_A01_00006	CDS	930	ccsA			Cytochrome c biogenesis protein CcsA
P001_A01_00007	CDS	1503	ndhD1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
P001_A01_00008	CDS	246	psaC	1.97.1.12		Photosystem I iron-sulfur center
P001_A01_00009	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
P001_A01_00010	CDS	531	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
P001_A01_00011	CDS	534	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I
P001_A01_00012	CDS	447	ndhA_1	7.1.1.-	COG1005	NAD(P)H-quinone oxidoreductase subunit 1
P001_A01_00013	CDS	564	ndhA_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic
P001_A01_00014	CDS	1119	ndhH_2	7.1.1.-	COG0649	NAD(P)H-quinone oxidoreductase subunit H
P001_A01_00015	CDS	252	psbE			Cytochrome b559 subunit alpha
P001_A01_00016	CDS	141				hypothetical protein
P001_A01_00017	tRNA	74				tRNA-Trp(cca)
P001_A01_00018	tRNA	76				tRNA-Pro(tgg)
P001_A01_00019	CDS	159	psaJ			Photosystem I reaction center subunit IX
P001_A01_00020	CDS	276				hypothetical protein
P001_A01_00021	CDS	522				hypothetical protein
P001_A01_00022	CDS	360	rplT			50S ribosomal protein L20
P001_A01_00023	CDS	150				hypothetical protein
P001_A01_00024	CDS	651	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P001_A01_00025	CDS	213				hypothetical protein
P001_A01_00026	CDS	1527	psbB			Photosystem II CP47 reaction center protein
P001_A01_00027	CDS	117	psbT			Photosystem II reaction center protein T
P001_A01_00028	CDS	351	psbH			Photosystem II reaction center protein H
P001_A01_00029	CDS	159				hypothetical protein
P001_A01_00030	CDS	699	petB		COG1290	Cytochrome b6
P001_A01_00031	CDS	141				hypothetical protein
P001_A01_00032	CDS	525	petD			Cytochrome b6-f complex subunit 4
P001_A01_00033	CDS	1026	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P001_A01_00034	CDS	432				hypothetical protein
P001_A01_00035	CDS	342	infA			Translation initiation factor IF-1
P001_A01_00036	CDS	411	rpsH		COG0096	30S ribosomal protein S8
P001_A01_00037	CDS	372	rplN			50S ribosomal protein L14
P001_A01_00038	CDS	363	rplP		COG0197	50S ribosomal protein L16
P001_A01_00039	CDS	162				hypothetical protein
P001_A01_00040	CDS	720	rpsC		COG0092	30S ribosomal protein S3
P001_A01_00041	CDS	444				hypothetical protein
P001_A01_00042	CDS	90				hypothetical protein
P001_A01_00043	CDS	1905	psaB	1.97.1.12		Photosystem I P700 chlorophyll a apoprotein A2
P001_A01_00044	CDS	312	rpsN2		COG0199	Alternate 30S ribosomal protein S14
P001_A01_00045	tRNA	72				tRNA-Arg(tct)
P001_A01_00046	CDS	1599	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
P001_A01_00047	CDS	372	atpF_1			ATP synthase subunit b
P001_A01_00048	CDS	189				hypothetical protein
P001_A01_00049	CDS	222				hypothetical protein
P001_A01_00050	CDS	222	atpF_2			ATP synthase subunit b
P001_A01_00051	CDS	246	atpE		COG0636	ATP synthase subunit c
P001_A01_00052	CDS	168				hypothetical protein
P001_A01_00053	CDS	861	atpB			ATP synthase subunit a
P001_A01_00054	CDS	711	rpsB		COG0052	30S ribosomal protein S2
P001_A01_00055	CDS	4401	rpoC2	2.7.7.6		DNA-directed RNA polymerase subunit beta'
P001_A01_00056	CDS	2031	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
P001_A01_00057	CDS	3207	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
P001_A01_00058	tRNA	71				tRNA-Cys(gca)
P001_A01_00059	CDS	243				hypothetical protein
P001_A01_00060	CDS	105	psbM			Photosystem II reaction center protein M
P001_A01_00061	CDS	156				hypothetical protein
P001_A01_00062	CDS	186				hypothetical protein
P001_A01_00063	tRNA	74				tRNA-Asp(gtc)
P001_A01_00064	tRNA	86				tRNA-Tyr(gta)
P001_A01_00065	tRNA	75				tRNA-Glu(ttc)
P001_A01_00066	tRNA	74				tRNA-Thr(ggt)
P001_A01_00067	CDS	150				hypothetical protein
P001_A01_00068	CDS	258				hypothetical protein
P001_A01_00069	CDS	345				hypothetical protein
P001_A01_00070	tRNA	76				tRNA-Met(cat)
