P001_WA03_00080 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA08_00012 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WB03_00108 	Cyperaceae;Eriophorum; 	Zingiberaceae;Roscoea	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P001_WB04_00050 	Betulaceae;Betula; 	Betulaceae;Carpinus	Betulaceae;Betula; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WB07_00065 	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Rosaceae;Sibbaldia;
P001_WB09_00102 	Asteraceae;Leontodon; 	Campanulaceae;Platycodon	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WC06_00021 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Asteraceae;Leucanthemum;
P001_WC07_00025 	Asteraceae;Leontodon; 	Asteraceae;Ixeris	Asteraceae;Taraxacum; 	Asteraceae;Leucanthemum; 	Asteraceae;Achillea; 	Asteraceae;Taraxacum;
P001_WC12_00051 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WD03_00067 	Poaceae;Calamagrostis; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P001_WD09_00106 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Boraginaceae;Myosotis;
P001_WD10_00079 	Boraginaceae;Myosotis; 	Boraginaceae;Onosma	Ericaceae;Pyrola; 	Gentianaceae;Gentiana; 	Asteraceae;Leucanthemum; 	Gentianaceae;Gentiana;
P001_WD12_00017 	Asteraceae;Taraxacum; 	Campanulaceae;Campanula	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WE07_00103 	Juncaceae;Luzula; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WE10_00045 	Asteraceae;Taraxacum; 	Campanulaceae;Campanula	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WE12_00028 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WE12_00335 	Cyperaceae;Carex; 	Campanulaceae;Campanula	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WF01_00023 	Equisetaceae;Equisetum; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WF01_00062 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum; 	Equisetaceae;Equisetum; 	Poaceae;Agrostis;
P001_WF02_00117 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WF08_00095 	Orchidaceae;Coeloglossum; 	Orchidaceae;Dactylorhiza	Juncaceae;Juncus; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WF09_00057 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Asteraceae;Leucanthemum;
P001_WF12_00086 	Geraniaceae;Geranium; 	Geraniaceae;Geranium	Rosaceae;Potentilla; 	Rosaceae;Alchemilla; 	Rosaceae;Sibbaldia; 	Cyperaceae;Carex;
P001_WG04_00030 	Cyperaceae;Carex; 	Arecaceae;Pritchardia	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WG10_00114 	Asteraceae;Taraxacum; 	Campanulaceae;Campanula	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WG11_00046 	Liliaceae;Gagea; 	Liliaceae;Gagea	Juncaceae;Juncus; 	Cyperaceae;Carex; 	Asteraceae;Cirsium; 	Crassulaceae;Sedum;
P001_WG12_00034 	Poaceae;Catabrosella; 	Poaceae;Agrostis	Poaceae;Agrostis; 	Poaceae;Agrostis; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P001_WH03_00043 	Cyperaceae;Eriophorum; 	Zingiberaceae;Roscoea	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P001_WH06_00028 	Poaceae;Trisetum; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P001_WH06_00071 	Poaceae;Trisetum; 	Poaceae;Poa	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Poa; 	Poaceae;Calamagrostis;
P001_WH07_00122 	Asteraceae;Scorzonera; 	Asteraceae;Atractylodes	Asteraceae;Hieracium; 	Cyperaceae;Carex; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WH10_00131 	Hypericaceae;Hypericum; 	Hypericaceae;Hypericum	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
