P001_WB01_00036 	Brassicaceae	Plantaginaceae	Brassicaceae	Plantaginaceae	Plantaginaceae	Orobanchaceae
P001_WB01_00179 	Brassicaceae	Ranunculaceae	Violaceae	Geraniaceae	Gentianaceae	Brassicaceae
P001_WB01_00306 	Brassicaceae	Poaceae	Asteraceae	Poaceae	Poaceae	Poaceae
P001_WD11_00049 	Crassulaceae	Asteraceae	Asteraceae	Cyperaceae	Asteraceae	Asteraceae
P001_WD11_00087 	Crassulaceae	Crassulaceae	Ericaceae	Primulaceae	Orobanchaceae	Ericaceae
P001_WE12_00027 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P001_WE12_00103 	Cyperaceae	Poaceae	Asteraceae	Poaceae	Poaceae	Poaceae
P001_WE12_00107 	Cyperaceae	Geraniaceae	Geraniaceae	Geraniaceae	Asteraceae	Ericaceae
P001_WE12_00334 	Cyperaceae	Asteraceae	Asteraceae	Cyperaceae	Asteraceae	Asteraceae
P001_WH06_00004 	Poaceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P001_WH06_00027 	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae
P001_WH06_00072 	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae	Poaceae
P001_WH12_00030 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P001_WH12_00103 	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae	Asteraceae
P002_WE07_00102 	Rosaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae	Caryophyllaceae
P002_WE07_00125 	Rosaceae	Rosaceae	Apiaceae	Rosaceae	Cyperaceae	Primulaceae
P003_WE11_00114 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae
P003_WE11_00253 	Cyperaceae	Cyperaceae	Juncaceae	Juncaceae	Juncaceae	Juncaceae
P003_WF01_00160 	Onagraceae	Onagraceae	Cyperaceae	Geraniaceae	Ericaceae	Geraniaceae
P003_WF01_00369 	Onagraceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae
P003_WG02_00003 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Polygonaceae
P003_WG02_00350 	Cyperaceae	Rosaceae	Cyperaceae	Apiaceae	Rosaceae	Orobanchaceae
P003_WG11_00187 	Asteraceae	Cyperaceae	Asteraceae	Cyperaceae	Cyperaceae	Cyperaceae
P003_WG11_00276 	Asteraceae	Poaceae	Asteraceae	Poaceae	Poaceae	Poaceae
P8807_505_00027 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
P8807_505_00028 	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae	Cyperaceae
