P001_WB01_00247 	Brassicaceae;Arabis	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus
P001_WB01_00267 	Brassicaceae;Arabis	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P001_WB01_00422 	Brassicaceae;Arabis	Brassicaceae;Arabis	Asteraceae;Taraxacum	Papaveraceae;Papaver	Brassicaceae;Draba	Brassicaceae;Draba
P001_WB01_00463 	Brassicaceae;Arabis	Poaceae;Avenella	Poaceae;Deschampsia	Poaceae;Avenella	Poaceae;Sesleria	Poaceae;Hyalopoa
P001_WB02_00111 	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P001_WB02_00229 	Salicaceae;Salix	Poaceae;Avenella	Salicaceae;Salix	Poaceae;Deschampsia	Poaceae;Avenella	Poaceae;Sesleria
P001_WD08_00005 	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Cyperaceae;Carex	Caryophyllaceae;Cerastium
P001_WD08_00237 	Caryophyllaceae;Cerastium	Boraginaceae;Lithospermum	Boraginaceae;Myosotis	Apiaceae;Ligusticum	Apiaceae;Peucedanum	Apiaceae;Seseli
P001_WD11_00067 	Crassulaceae;Sedum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum
P001_WD11_00111 	Crassulaceae;Sedum	Crassulaceae;Rosularia	Crassulaceae;Sempervivum	Crassulaceae;Sedum	Apiaceae;Peucedanum	Apiaceae;Seseli
P001_WD11_00141 	Crassulaceae;Sedum	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Kobresia	Cyperaceae;Carex	Cyperaceae;Carex
P001_WD11_00247 	Crassulaceae;Sedum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum
P001_WE04_00004 	Tofieldiaceae;Tofieldia	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WE04_00054 	Tofieldiaceae;Tofieldia	Tofieldiaceae;Tofieldia	Liliaceae;Fritillaria	Gentianaceae;Gentiana	Primulaceae;Soldanella	Primulaceae;Soldanella
P001_WE04_00055 	Tofieldiaceae;Tofieldia	Tofieldiaceae;Tofieldia	Liliaceae;Fritillaria	Liliaceae;Gagea	Orchidaceae;Coeloglossum	Ranunculaceae;Trollius
P001_WE12_00001 	Cyperaceae;Carex	Hypericaceae;Hypericum	Hypericaceae;Hypericum	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca
P001_WE12_00007 	Cyperaceae;Carex	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Asteraceae;Taraxacum
P001_WE12_00223 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Kobresia	Cyperaceae;Carex	Cyperaceae;Carex
P001_WF01_00007 	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum
P001_WF01_00153 	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Saxifragaceae;Saxifraga
P001_WG01_00001 	Ranunculaceae;Thalictrum	Ranunculaceae;Thalictrum	Cyperaceae;Carex	Ranunculaceae;Trollius	Ranunculaceae;Aconitum	Brassicaceae;Arabis
P001_WG01_00002 	Ranunculaceae;Thalictrum	Ranunculaceae;Thalictrum	Cyperaceae;Carex	Ranunculaceae;Trollius	Ranunculaceae;Aconitum	Salicaceae;Salix
P001_WG02_00324 	Cyperaceae;Carex	Ranunculaceae;Thalictrum	Cyperaceae;Carex	Ranunculaceae;Trollius	Ranunculaceae;Aconitum	Cyperaceae;Eriophorum
P001_WG02_00325 	Cyperaceae;Carex	Ranunculaceae;Thalictrum	Cyperaceae;Carex	Ranunculaceae;Trollius	Ranunculaceae;Aconitum	Cupressaceae;Juniperus
P001_WG03_00012 	Selaginellaceae;Selaginella	Celastraceae;Parnassia	Celastraceae;Parnassia	Rosaceae;Dryas	Cyperaceae;Carex	Poaceae;Anthoxanthum
